"Gubernatorial General Election Returns by State (2004)"
"Generated from CQ Press U.S. Political Stats Database, October 23, 2017"
,
,
State,"Winning Party","Dem. Candidate (2004)","Dem. Votes","Dem. %","Rep. Candidate (2004)","Rep. Votes","Rep. %","Highest Other (2004)","Other Votes","Other %"
DE,D,"Minner, Ruth",185687,50.9,"Lee, William",167115,45.8,"Infante, Frank",12206,3.3
IN,R,"Kernan, Joseph",1113900,45.5,"Daniels, Mitch",1302912,53.2,"Giveiden, Kenn",31664,1.3
MO,R,"McCaskill, Claire",1301442,47.9,"Blunt, Matt",1382419,50.8,"Swenson, John",24378,0.9
MT,D,"Schweitzer, Brian",225016,50.4,"Brown, Bob",205313,46,"Kelleher, Bob",8393,1.9
NC,D,"Easley, Mike",1939154,55.6,"Ballantine, Patrick",1495021,42.9,"Howe, Barbara",52513,1.5
ND,R,"Satrom, Joe",84877,27.4,"Hoeven, John",220803,71.3,"Reimers, Roland",4193,1.4
NH,D,"Lynch, John",340299,51,"Benson, Craig",325981,48.9,"Other/Unknown, ",740,0.1
UT,R,"Matheson, Scot",380359,41.3,"Huntsman, Jon",531190,57.7,"Larsen, Ken",8399,0.9
VT,R,"Clavell, Peter",117327,37.9,"Douglas, Jim",181540,58.7,"Ericson, Cris",4221,1.4
WA,D,"Gregoire, Christine",1373361,48.9,"Rossi, Dino",1373232,48.9,"Bennet, Ruth",63465,2.3
WV,D,"Manchin, Joe",472758,63.5,"Warner, Monty",253131,34,"Johnson, Jesse",18430,2.5
,
"Source: U.S. Political Stats draws on a number of authoritative CQ Press sources for elections data.  Data have been adapted from these CQ Press sources:          America Votes biennial series      America at the Polls series    The America Votes series, covering presidential, gubernatorial, House, and Senate general elections and primaries every election cycle, was first created by Richard M. Scammon and Alice V. McGillivray of the Elections Research Center, Washington, D.C., in 1956. Since 1996 the series has been edited and compiled by Rhodes Cook. The series includes the following:        Scammon, Richard M., Alice V. McGillivray, and the Elections Research Center. America Votes 15. Washington: CQ Press, 1983.       Scammon, Richard M., Alice V. McGillivray, and the Elections Research Center. America Votes 16. Washington: CQ Press, 1985.       Scammon, Richard M., Alice V. McGillivray, and the Elections Research Center. America Votes 17. Washington: CQ Press, 1987.       Scammon, Richard M., Alice V. McGillivray, and the Elections Research Center. America Votes 18. Washington: CQ Press, 1989.       Scammon, Richard M., Alice V. McGillivray, and the Elections Research Center. America Votes 19. Washington: CQ Press, 1991.       Scammon, Richard M., Alice V. McGillivray, and the Elections Research Center. America Votes 20. Washington: CQ Press, 1993.       Scammon, Richard M., Alice V. McGillivray, and the Elections Research Center. America Votes 21. Washington: CQ Press, 1995.       Scammon, Richard M., Alice V. McGillivray, and Rhodes Cook. America Votes 22. Washington: CQ Press, 1998.       Scammon, Richard M., Alice V. McGillivray, and Rhodes Cook. America Votes 23. Washington: CQ Press, 1999.       Scammon, Richard M., Alice V. McGillivray, and Rhodes Cook. America Votes 24. Washington: CQ Press, 2001.       Scammon, Richard M., Alice V. McGillivray, and Rhodes Cook. America Votes 25. Washington: CQ Press, 2003.       Scammon, Richard M., Alice V. McGillivray, and Rhodes Cook. America Votes 26: 2003-2004. Washington: CQ Press, 2006.       Scammon, Richard M., Alice V. McGillivray, and Rhodes Cook. America Votes 27: 2005-2006. Washington: CQ Press, 2008.       Scammon, Richard M., Alice V. McGillivray, and Rhodes Cook. America Votes 28: 2007-2008. Washington: CQ Press, 2010.       Rhodes Cook. America Votes 29: 2009-2010. Washington: CQ Press, 2012.       Rhodes Cook. America Votes 30: 2011-2012. Washington: CQ Press, 2014.     The data in this series are compiled from final, official results obtained from election authorities in each state. On occasion, states may belatedly report vote total changes that occur after publication of the volumes. The editors and CQ Press have made every attempt to incorporate changes and corrections in the data. Where possible, footnotes and notes regarding specific elections or vote totals have been retained in this Collection or integrated into the data. The America at the Polls series, covering presidential general elections and primaries, includes the following:        McGillivray, Alice V., Richard M. Scammon, and Rhodes Cook. America at the Polls 1960 to 2000: John F. Kennedy to George W. Bush. Washington: CQ Press, 2001.     
"
