"Gubernatorial General Election Returns by State (2002)"
"Generated from CQ Press U.S. Political Stats Database, October 23, 2017"
,
,
State,"Winning Party","Dem. Candidate (2002)","Dem. Votes","Dem. %","Rep. Candidate (2002)","Rep. Votes","Rep. %","Highest Other (2002)","Other Votes","Other %"
AK,R,"Ulmer, Fran",94216,40.7,"Murkowski, Frank",129279,55.8,"Other/Unknown, ",7989,3.5
AL,R,"Siegelman, Don",669105,48.9,"Riley, Robert",672225,49.2,"Other/Unknown, ",25723,1.9
AR,R,"Fisher, Jimmie",378250,46.9,"Huckabee, Mike",427082,53,"Other/Unknown, ",364,0
AZ,D,"Napolitano, Janet",566284,46.2,"Salmon, Matt",554465,45.2,"Other/Unknown, ",105362,8.6
CA,D,"Davis, Gray",3533490,47.3,"Simon, Bill",3169801,42.4,"Other/Unknown, ",773020,10.3
CO,R,"Heath, Rollie",475373,33.7,"Owens, Bill",884583,62.6,"Other/Unknown, ",52646,3.7
CT,R,"Curry, Bill",448984,43.9,"Rowland, John",573958,56.1,"Other/Unknown, ",56,0
FL,R,"McBride, Bill",2201427,43.2,"Bush, Jeb",2856845,56,"Other/Unknown, ",42309,0.8
GA,R,"Barnes, Roy",937070,46.2,"Perdue, Sonny",1041700,51.4,"Other/Unknown, ",48407,2.4
HI,R,"Hirono, Mazie",179647,47,"Lingle, Linda",197009,51.6,"Other/Unknown, ",5454,1.4
IA,D,"Vilsack, Tom",540449,52.7,"Gross, Doug",456612,44.5,"Other/Unknown, ",28741,2.8
ID,R,"Brady, Jerry",171711,41.7,"Kempthorne, Dirk",231566,56.3,"Other/Unknown, ",8200,2
IL,D,"Blagojevich, Rod",1847040,52.2,"Ryan, Jim",1594960,45.1,"Other/Unknown, ",96891,2.7
KS,D,"Sebelius, Kathleen",441858,52.9,"Shallenburger, Tim",376830,45.1,"Other/Unknown, ",17004,2
MA,R,"O'Brien, Shannon",985981,44.9,"Romney, W. Mitt",1091988,49.8,"Other/Unknown, ",116210,5.3
MD,R,"Townsend, Kathleen",813422,47.7,"Ehrlich, Robert",879592,51.6,"Other/Unknown, ",13165,0.8
ME,D,"Baldacci, John",238179,47.1,"Cianchette, Peter",209496,41.5,"Other/Unknown, ",57515,11.4
MI,D,"Granholm, Jennifer",1633796,51.4,"Posthumus, Dick",1506104,47.4,"Other/Unknown, ",37665,1.2
MN,R,"Moe, Roger",821268,36.5,"Pawlenty, Tim",999473,44.4,"Penny, Timothy",364534,16.2
NE,R,"Dean, Stormy",132348,27.5,"Johanns, Mike",330349,68.7,"Other/Unknown, ",18294,3.8
NH,R,"Fernald, Mark",169277,38.2,"Benson, Craig",259663,58.6,"Other/Unknown, ",14036,3.2
NM,D,"Richardson, Bill",268693,55.5,"Sanchez, John",189074,39,"Other/Unknown, ",26466,5.5
NV,R,"Neal, Joe",110935,22,"Guinn, Kenny",344001,68.2,"Other/Unknown, ",49143,9.7
NY,R,"McCall, H.",1534064,33.5,"Pataki, George",2262255,49.4,"Golisano, B.",654016,14.3
OH,R,"Hagan, Timothy",1236924,38.3,"Taft, Robert",1865007,57.8,"Other/Unknown, ",127061,3.9
OK,D,"Henry, Brad",448143,43.3,"Largent, Steve",441277,42.6,"Richardson, Gary",146200,14.1
OR,D,"Kulongoski, Ted",618004,49,"Mannix, Kevin",581785,46.2,"Other/Unknown, ",60708,4.8
