"Gubernatorial General Election Returns by State (2014)"
"Generated from CQ Press U.S. Political Stats Database, October 23, 2017"
,
,
State,"Winning Party","Dem. Candidate (2014)","Dem. Votes","Dem. %","Rep. Candidate (2014)","Rep. Votes","Rep. %","Highest Other (2014)","Other Votes","Other %"
AK,I,,,,"Parnell, Sean",128435,45.9,"Walker, Bill",134658,48.1
AL,R,"Griffith, Parker",427787,36.2,"Bentley, Robert",750231,63.6,"Write-In, ",2395,0.2
AR,R,"Ross, Mike",352115,41.5,"Hutchinson, Asa",470429,55.4,"Gilbert, Frank",16319,1.9
AZ,R,"Duval, Fred",626921,41.6,"Ducey, Doug",805062,53.4,"Hess, Barry",57337,3.8
CA,D,"Brown, Edmund",4388368,60,"Kashkari, Neel",2929213,40,,,
CO,D,"Hickenlooper, John",1006433,49.3,"Beauprez, Bob",938195,46,"Hess, Matthew",39590,1.9
CT,D,"Malloy, Dan",554314,50.7,"Foley, Tom",526295,48.2,"Visconti, Joe",11456,1
FL,R,"Crist, Charlie",2801198,47.1,"Scott, Rick",2865343,48.1,"Wyllie, Adrian",223356,3.8
GA,R,"Carter, Jason",1144794,44.9,"Deal, Nathan",1345237,52.7,"Hunt, Andrew",60185,2.4
HI,D,"Ige, David",181106,49.5,"Aiona, Duke",135775,37.1,"Hannemann, Mufi",42934,11.7
IA,R,"Hatch, Jack",420787,37.3,"Branstad, Terry",666032,59,"Hieb, Lee",20321,1.8
ID,R,"Balukoff, A.J.",169556,38.6,"Otter, C.",235405,53.5,"Bujak, John",17884,4.1
IL,R,"Quinn, Pat",1681343,46.3,"Rauner, Bruce",1823627,50.3,"Grimm, Chad",121534,3.4
KS,R,"Davis, Paul",401100,46.1,"Brownback, Sam",433196,49.8,"Umbehr, Keen",35206,4
MA,R,"Coakley, Martha",1004408,46.5,"Baker, Charles",1044573,48.4,"Falchuk, Evan",71814,3.3
MD,R,"Brown, Anthony",818890,47.2,"Hogan, Larry",884400,51,"Quinn, Shawn",25382,1.5
ME,R,"Michaud, Michael",265114,43.4,"LePage, Paul",294519,48.2,"Cutler, Eliot",51515,8.4
MI,R,"Schauer, Mark",1479057,46.9,"Snyder, Rick",1607399,50.9,"Buzuma, Mary",35723,1.1
MN,D,"Dayton, Mark",989113,50.1,"Johnson, Jeff",879257,44.5,"Nicolett, Hannah",56900,2.9
NE,R,"Hassebrook, Chuck",211905,39.2,"Ricketts, Pete",308751,57.2,"Elworth, Mark",19001,3.5
NH,D,"Hassan, Maggie",254666,52.4,"Havenstein, Walter",230610,47.4,"Write-In, ",907,0.2
NM,R,"King, Gary",219362,42.8,"Martinez, Susana",293443,57.2,,,
NV,R,"Goodman, Robert",130722,23.9,"Sandoval, Brian",386340,70.6,"""None Of These Candidates"", ",15751,2.9
NY,D,"Cuomo, Andrew",2069480,54.2,"Astorino, Rob",1537077,40.2,"Hawkins, Howie",184419,4.8
OH,R,"FitzGerald, Ed",1009359,33,"Kasich, John",1944848,63.6,"Rios, Anita",101706,3.3
OK,R,"Dorman, Joe",338239,41,"Fallin, Mary",460298,55.8,"Willis, Kimberly",17169,2.1
OR,D,"Kitzhaber, John",733230,49.9,"Richardson, Dennis",648542,44.1,"Levin, Jason",29561,2
PA,D,"Wolf, Thomas",1920355,54.9,"Corbett, Tom",1575511,45.1,,,
RI,D,"Raimondo, Gina",131899,40.7,"Fung, Allan",117428,36.2,"Healey, Robert",69278,21.4
SC,R,"Sheheen, Vincent",516166,41.4,"Haley, Nikki",696645,55.9,"French, Steve",15438,1.2
