"Gubernatorial General Election Returns by State (1990)"
"Generated from CQ Press U.S. Political Stats Database, October 23, 2017"
,
,
State,"Winning Party","Dem. Candidate (1990)","Dem. Votes","Dem. %","Rep. Candidate (1990)","Rep. Votes","Rep. %","Highest Other (1990)","Other Votes","Other %"
AK,I,"Knowles, Tony",60201,30.9,"Sturgulewski, Arliss",50991,26.2,"Hickel, Walter",75721,38.9
AL,R,"Hubbert, Paul",582106,47.9,"Hunt, Guy",633519,52.1,"Other/Unknown, ",625,0.1
AR,D,"Clinton, Bill",400386,57.5,"Nelson, Sheffield",295925,42.5,"Other/Unknown, ",101,0
CA,R,"Feinstein, Dianne",3525197,45.8,"Wilson, Pete",3791904,49.2,"Other/Unknown, ",382366,5
CO,D,"Romer, Roy",626032,61.9,"Andrews, John",358403,35.4,"Other/Unknown, ",26837,2.7
CT,I,"Morrison, Bruce",237641,20.8,"Rowland, John",427840,37.5,"Weicker, Lowell",460576,40.3
FL,D,"Chiles, Lawton",1995206,56.5,"Martinez, Bob",1535068,43.5,"Floyd, ",597,0
GA,D,"Miller, Zell",766662,52.9,"Isakson, Johnny",645625,44.5,"Other/Unknown, ",37395,2.6
HI,D,"Waihee, John",203491,59.8,"Hemmings, Fred",131310,38.6,"Other/Unknown, ",5331,1.6
IA,R,"Avenson, Donald",379372,38.9,"Branstad, Terry",591852,60.6,"Other/Unknown, ",5259,0.5
ID,D,"Andrus, Cecil",218673,68.2,"Fairchild, Roger",101937,31.8,,,
IL,R,"Hartigan, Neil",1569217,48.2,"Edgar, Jim",1653126,50.7,"Other/Unknown, ",35067,1.1
KS,D,"Finney, Joan",380609,48.6,"Hayden, Mike",333589,42.6,"Other/Unknown, ",69127,8.8
MA,R,"Silber, John",1099878,46.9,"Weld, William",1175817,50.2,"Other/Unknown, ",67232,2.9
MD,D,"Schaefer, William",664015,59.8,"Shepard, William",446980,40.2,"Other/Unknown, ",93,0
ME,R,"Brennan, Joseph",230038,44,"McKernan, John",243766,46.7,"Other/Unknown, ",48688,9.3
MI,R,"Blanchard, James",1258539,49.1,"Engler, John",1276134,49.8,"Other/Unknown, ",29890,1.2
MN,R,"Perpich, Rudy",836218,46.3,"Carlson, Arne",895988,49.6,"Other/Unknown, ",74571,4.1
NE,D,"Nelson, Earl",292771,49.9,"Orr, Kay",288741,49.2,"Other/Unknown, ",5030,0.9
NH,R,"Grandmaison, J.",101923,34.5,"Gregg, Judd",177773,60.3,"Other/Unknown, ",15322,5.2
NM,D,"King, Bruce",224564,54.6,"Bond, Frank",185692,45.2,"Other/Unknown, ",976,0.2
NV,D,"Miller, Robert",207878,64.8,"Gallaway, Jim",95789,29.9,"Other/Unknown, ",17076,5.3
NY,D,"Cuomo, Mario",2157087,53.2,"Rinfret, Pierre",865948,21.3,"London, ",827614,20.4
OH,R,"Celebrezze, Anthony",1544416,44.3,"Voinovich, George",1938103,55.7,"Other/Unknown, ",131,0
OK,D,"Walters, David",523196,57.4,"Price, Bill",297584,32.7,"Other/Unknown, ",90534,9.9
OR,D,"Roberts, Barbara",508749,45.7,"Frohnmayer, Dave",444646,40,"Other/Unknown, ",159452,14.3
PA,D,"Casey, Robert",2065244,67.7,"Hafer, Barbara",987516,32.3,,,
RI,D,"Sundlun, Bruce",264411,74.1,"Diprete, Edward",92177,25.8,"Other/Unknown, ",84,0
SC,R,"Mitchell, Theo",212034,27.9,"Campbell, Carroll",528831,69.5,"Other/Unknown, ",20100,2.6
SD,R,"Samuelson, Bob",105525,41.1,"Mickelson, George",151198,58.9,,,
TN,D,"McWherter, Ned",480885,60.8,"Henry, Dwight",289348,36.6,"Other/Unknown, ",20208,2.6
TX,D,"Richards, Ann",1925670,49.5,"Williams, Clayton",1826231,46.9,"Other/Unknown, ",140586,3.6
VT,R,"Welch, Peter",97321,46,"Snelling, Richard",109540,51.8,"Other/Unknown, ",4561,2.2
WI,R,"Loftus, Thomas",576280,41.8,"Thompson, Tommy",802321,58.2,"Other/Unknown, ",1126,0.1
WY,D,"Sullivan, Mike",104638,65.4,"Mead, Mary",55471,34.6,,,
,
"Source: U.S. Political Stats draws on a number of authoritative CQ Press sources for elections data.  Data have been adapted from these CQ Press sources:          America Votes biennial series      America at the Polls series    The America Votes series, covering presidential, gubernatorial, House, and Senate general elections and primaries every election cycle, was first created by Richard M. Scammon and Alice V. McGillivray of the Elections Research Center, Washington, D.C., in 1956. Since 1996 the series has been edited and compiled by Rhodes Cook. The series includes the following:        Scammon, Richard M., Alice V. McGillivray, and the Elections Research Center. America Votes 15. Washington: CQ Press, 1983.       Scammon, Richard M., Alice V. McGillivray, and the Elections Research Center. America Votes 16. Washington: CQ Press, 1985.       Scammon, Richard M., Alice V. McGillivray, and the Elections Research Center. America Votes 17. Washington: CQ Press, 1987.       Scammon, Richard M., Alice V. McGillivray, and the Elections Research Center. America Votes 18. Washington: CQ Press, 1989.       Scammon, Richard M., Alice V. McGillivray, and the Elections Research Center. America Votes 19. Washington: CQ Press, 1991.       Scammon, Richard M., Alice V. McGillivray, and the Elections Research Center. America Votes 20. Washington: CQ Press, 1993.       Scammon, Richard M., Alice V. McGillivray, and the Elections Research Center. America Votes 21. Washington: CQ Press, 1995.       Scammon, Richard M., Alice V. McGillivray, and Rhodes Cook. America Votes 22. Washington: CQ Press, 1998.       Scammon, Richard M., Alice V. McGillivray, and Rhodes Cook. America Votes 23. Washington: CQ Press, 1999.       Scammon, Richard M., Alice V. McGillivray, and Rhodes Cook. America Votes 24. Washington: CQ Press, 2001.       Scammon, Richard M., Alice V. McGillivray, and Rhodes Cook. America Votes 25. Washington: CQ Press, 2003.       Scammon, Richard M., Alice V. McGillivray, and Rhodes Cook. America Votes 26: 2003-2004. Washington: CQ Press, 2006.       Scammon, Richard M., Alice V. McGillivray, and Rhodes Cook. America Votes 27: 2005-2006. Washington: CQ Press, 2008.       Scammon, Richard M., Alice V. McGillivray, and Rhodes Cook. America Votes 28: 2007-2008. Washington: CQ Press, 2010.       Rhodes Cook. America Votes 29: 2009-2010. Washington: CQ Press, 2012.       Rhodes Cook. America Votes 30: 2011-2012. Washington: CQ Press, 2014.     The data in this series are compiled from final, official results obtained from election authorities in each state. On occasion, states may belatedly report vote total changes that occur after publication of the volumes. The editors and CQ Press have made every attempt to incorporate changes and corrections in the data. Where possible, footnotes and notes regarding specific elections or vote totals have been retained in this Collection or integrated into the data. The America at the Polls series, covering presidential general elections and primaries, includes the following:        McGillivray, Alice V., Richard M. Scammon, and Rhodes Cook. America at the Polls 1960 to 2000: John F. Kennedy to George W. Bush. Washington: CQ Press, 2001.     
"
