"Gubernatorial General Election Returns by State (2006)"
"Generated from CQ Press U.S. Political Stats Database, October 23, 2017"
,
,
State,"Winning Party","Dem. Candidate (2006)","Dem. Votes","Dem. %","Rep. Candidate (2006)","Rep. Votes","Rep. %","Highest Other (2006)","Other Votes","Other %"
AK,R,"Knowles, Tony",97238,41,"Palin, Sarah",114697,48.3,"Other/Unknown, ",25387,10.7
AL,R,"Baxley, Lucy",519827,41.6,"Riley, Robert",718327,57.4,"Other/Unknown, ",12247,1
AR,D,"Beebe, Mike",430765,55.6,"Hutchinson, Asa",315040,40.7,"Other/Unknown, ",28875,3.7
AZ,D,"Napolitano, Janet",959830,62.6,"Munsil, Len",543528,35.4,"Other/Unknown, ",30287,2
CA,R,"Angelides, Phil",3376732,38.9,"Schwarzenegger, Arnold",4850157,55.9,"Other/Unknown, ",452527,5.2
CO,D,"Ritter, Bill",888096,57,"Beauprez, Bob",625886,40.2,"Other/Unknown, ",44405,2.8
CT,R,"DeStefano, John",398220,35.4,"Rell, M.",710048,63.2,"Other/Unknown, ",15144,1.3
FL,R,"Davis, Jim",2178289,45.1,"Crist, Charlie",2519845,52.2,"Other/Unknown, ",131136,2.7
GA,R,"Taylor, Mark",811049,38.2,"Perdue, Sonny",1229724,57.9,"Other/Unknown, ",81485,3.8
HI,R,"Iwase, Randy",121717,35.4,"Lingle, Linda",215313,62.5,"Brewer, Jim",5435,1.6
IA,D,"Culver, Chet",569021,54,"Nussle, Jim",467425,44.4,"Other/Unknown, ",16809,1.6
ID,R,"Brady, Jerry",198845,44.1,"Otter, C.",237437,52.7,"Other/Unknown, ",14550,3.2
IL,D,"Blagojevich, Rod",1736731,49.8,"Topinka, Judy",1369315,39.3,"Whitney, Rich",361336,10.4
KS,D,"Sebelius, Kathleen",491993,57.9,"Barnett, Jim",343586,40.4,"Other/Unknown, ",14121,1.7
MA,D,"Patrick, Deval",1234984,55.6,"Healey, Kerry",784342,35.3,"Other/Unknown, ",200453,9
MD,D,"O'Malley, Martin",942279,52.7,"Ehrlich, Robert",825464,46.2,"Other/Unknown, ",20573,1.2
ME,D,"Baldacci, John",209927,38.1,"Woodcock, Chandler",166425,30.2,"Merrill, Barbara",118715,21.6
MI,D,"Granholm, Jennifer",2142513,56.4,"DeVos, Dick",1608086,42.3,"Other/Unknown, ",50657,1.3
MN,R,"Hatch, Mike",1007460,45.7,"Pawlenty, Tim",1028568,46.7,"Other/Unknown, ",166909,7.6
NE,R,"Hahn, David",145115,24.5,"Heineman, Dave",435507,73.4,"Other/Unknown, ",12735,2.1
NH,D,"Lynch, John",298760,74,"Coburn, Jim",104288,25.8,"Other/Unknown, ",631,0.2
NM,D,"Richardson, Bill",384806,68.8,"Dendahl, John",174364,31.2,,,
NV,R,"Titus, Dina",255684,43.9,"Gibbons, James",279003,47.9,"Other/Unknown, ",47471,8.2
NY,D,"Spitzer, Eliot",3086709,69.6,"Faso, John",1274335,28.7,"Other/Unknown, ",76176,1.7
OH,D,"Strickland, Ted",2435384,60.5,"Blackwell, J.",1474285,36.6,"Other/Unknown, ",113085,2.8
OK,D,"Henry, Brad",616135,66.5,"Istook, Ernest",310327,33.5,,,
OR,D,"Kulongoski, Ted",699786,50.7,"Saxton, Ron",589748,42.8,"Other/Unknown, ",89941,6.5
