"Gubernatorial General Election Returns by State (2016)"
"Generated from CQ Press U.S. Political Stats Database, October 23, 2017"
,
,
State,"Winning Party","Dem. Candidate (2016)","Dem. Votes","Dem. %","Rep. Candidate (2016)","Rep. Votes","Rep. %","Highest Other (2016)","Other Votes","Other %"
DE,D,"Carney, John",248404,58.3,"Bonini, Colin",166852,39.2,"Groff, Andrew",5951,1.4
IN,R,"Gregg, John",1235503,45.4,"Holcomb, Eric",1397396,51.4,"Bell, Rex",87025,3.2
MO,R,"Koster, Chris",1277360,45.6,"Greitens, Eric",1433397,51.1,"Spragins, Cisse",41154,1.5
MT,D,"Bullock, Steve",255933,50.2,"Gianforte, Greg",236115,46.4,"Dunlap, Ted",17312,3.4
NC,D,"Cooper, Roy",2309157,49,"McCrory, Pat",2298880,48.8,"Cecil, Lon",102977,2.2
ND,R,"Nelson, Marvin",65855,19.4,"Burgum, Doug",259863,76.5,"Riske, Marty",13230,3.9
NH,R,"Van Ostern, Colin",337589,46.6,"Sununu, Chris",354040,48.8,"Abramson, Max",31243,4.3
OR,D,"Brown, Kate",985027,50.6,"Pierce, Bud",845609,43.5,"Thomason, Cliff",47481,2.4
UT,R,"Weinholtz, Mike",323349,28.7,"Herbert, Gary",750850,66.7,"Kamerath, Brian",34827,3.1
VT,R,"Minter, Sue",139253,44.2,"Scott, Phil",166817,52.9,"Lee, Bill",8912,2.8
WA,D,"Inslee, Jay",1760520,54.2,"Bryant, Bill",1476346,45.5,"Write-In, ",8416,0.3
WV,D,"Justice, Jim",350408,49.1,"Cole, Bill",301987,42.3,"Pritt, Charlotte",42068,5.9
,
"Source: U.S. Political Stats draws on a number of authoritative CQ Press sources for elections data.  Data have been adapted from these CQ Press sources:          America Votes biennial series      America at the Polls series    The America Votes series, covering presidential, gubernatorial, House, and Senate general elections and primaries every election cycle, was first created by Richard M. Scammon and Alice V. McGillivray of the Elections Research Center, Washington, D.C., in 1956. Since 1996 the series has been edited and compiled by Rhodes Cook. The series includes the following:        Scammon, Richard M., Alice V. McGillivray, and the Elections Research Center. America Votes 15. Washington: CQ Press, 1983.       Scammon, Richard M., Alice V. McGillivray, and the Elections Research Center. America Votes 16. Washington: CQ Press, 1985.       Scammon, Richard M., Alice V. McGillivray, and the Elections Research Center. America Votes 17. Washington: CQ Press, 1987.       Scammon, Richard M., Alice V. McGillivray, and the Elections Research Center. America Votes 18. Washington: CQ Press, 1989.       Scammon, Richard M., Alice V. McGillivray, and the Elections Research Center. America Votes 19. Washington: CQ Press, 1991.       Scammon, Richard M., Alice V. McGillivray, and the Elections Research Center. America Votes 20. Washington: CQ Press, 1993.       Scammon, Richard M., Alice V. McGillivray, and the Elections Research Center. America Votes 21. Washington: CQ Press, 1995.       Scammon, Richard M., Alice V. McGillivray, and Rhodes Cook. America Votes 22. Washington: CQ Press, 1998.       Scammon, Richard M., Alice V. McGillivray, and Rhodes Cook. America Votes 23. Washington: CQ Press, 1999.       Scammon, Richard M., Alice V. McGillivray, and Rhodes Cook. America Votes 24. Washington: CQ Press, 2001.       Scammon, Richard M., Alice V. McGillivray, and Rhodes Cook. America Votes 25. Washington: CQ Press, 2003.       Scammon, Richard M., Alice V. McGillivray, and Rhodes Cook. America Votes 26: 2003-2004. Washington: CQ Press, 2006.       Scammon, Richard M., Alice V. McGillivray, and Rhodes Cook. America Votes 27: 2005-2006. Washington: CQ Press, 2008.       Scammon, Richard M., Alice V. McGillivray, and Rhodes Cook. America Votes 28: 2007-2008. Washington: CQ Press, 2010.       Rhodes Cook. America Votes 29: 2009-2010. Washington: CQ Press, 2012.       Rhodes Cook. America Votes 30: 2011-2012. Washington: CQ Press, 2014.     The data in this series are compiled from final, official results obtained from election authorities in each state. On occasion, states may belatedly report vote total changes that occur after publication of the volumes. The editors and CQ Press have made every attempt to incorporate changes and corrections in the data. Where possible, footnotes and notes regarding specific elections or vote totals have been retained in this Collection or integrated into the data. The America at the Polls series, covering presidential general elections and primaries, includes the following:        McGillivray, Alice V., Richard M. Scammon, and Rhodes Cook. America at the Polls 1960 to 2000: John F. Kennedy to George W. Bush. Washington: CQ Press, 2001.     
"
