"Gubernatorial General Election Returns by State (1994)"
"Generated from CQ Press U.S. Political Stats Database, October 23, 2017"
,
,
State,"Winning Party","Dem. Candidate (1994)","Dem. Votes","Dem. %","Rep. Candidate (1994)","Rep. Votes","Rep. %","Highest Other (1994)","Other Votes","Other %"
AK,D,"Knowles, Tony",87693,41.1,"Campbell, James",87157,40.8,"Coghill, John",27838,13
AL,R,"Folsom, James",594169,49.4,"James, Forrest",604926,50.3,"Other/Unknown, ",2874,0.2
AR,D,"Tucker, Jim",428936,59.8,"Nelson, Sheffield",287904,40.2,,,
AZ,R,"Basha, Eddie",500702,44.3,"Symington, Fife",593492,52.5,"Other/Unknown, ",35413,3.1
CA,R,"Brown, Kathleen",3519799,40.6,"Wilson, Pete",4781766,55.2,"Other/Unknown, ",363810,4.2
CO,D,"Romer, Roy",619205,55.5,"Benson, Bruce",432042,38.7,"Other/Unknown, ",65060,5.8
CT,R,"Curry, Bill",375133,32.7,"Rowland, John",415201,36.2,"Groark, Eunice",216585,18.9
FL,D,"Chiles, Lawton",2135008,50.8,"Bush, Jeb",2071068,49.2,"Other/Unknown, ",583,0
GA,D,"Miller, Zell",788926,51.1,"Millner, Guy",756371,48.9,"Other/Unknown, ",31,0
HI,D,"Cayetano, Benjamin",134978,36.6,"Saiki, Patricia",107908,29.2,"Fasi, Frank",113158,30.7
IA,R,"Campbell, Bonnie",414453,41.6,"Branstad, Terry",566395,56.8,"Other/Unknown, ",16400,1.6
ID,R,"Echohawk, Larry",181363,43.9,"Batt, Phil",216123,52.3,"Other/Unknown, ",15860,3.8
IL,R,"Netsch, Dawn",1069850,34.4,"Edgar, Jim",1984318,63.9,"Other/Unknown, ",52398,1.7
KS,R,"Slattery, Jim",294733,35.9,"Graves, Bill",526113,64.1,"Other/Unknown, ",184,0
MA,R,"Roosevelt, Mark",636138,28.1,"Weld, William",1610298,71.1,"Other/Unknown, ",19871,0.9
MD,D,"Glendening, Parris",708094,50.2,"Sauerbrey, Ellen",702101,49.8,"Other/Unknown, ",105,0
ME,I,"Brennan, Joseph",172951,33.8,"Collins, Susan",117990,23.1,"King, Agnus",180829,35.4
MI,R,"Wolpe, Howard",1188438,38.5,"Engler, John",1899101,61.5,"Other/Unknown, ",1538,0
MN,R,"Marty, John",589344,33.4,"Carlson, Arne",1094165,62,"Other/Unknown, ",82081,4.6
NE,D,"Nelson, Earl",423270,73,"Spence, Gene",148230,25.6,"Other/Unknown, ",8061,1.4
NH,R,"King, Wayne",79686,25.6,"Merrill, Steve",218134,69.9,"Other/Unknown, ",14062,4.5
NM,R,"King, Bruce",186686,39.9,"Johnson, Gary",232945,49.8,"Other/Unknown, ",47990,10.3
NV,D,"Miller, Robert",200026,52.7,"Gibbons, James",156875,41.3,"Other/Unknown, ",22775,6
NY,R,"Cuomo, Mario",2364904,45.4,"Pataki, George",2538702,48.7,"Other/Unknown, ",305156,5.9
OH,R,"Burch, Robert",835849,25,"Voinovich, George",2401572,71.8,"Other/Unknown, ",108817,3.3
OK,R,"Mildren, Jack",294936,29.6,"Keating, Frank",466740,46.9,"Watkins, Wes",233336,23.5
OR,D,"Kitzhaber, John",622083,50.9,"Smith, Denny",517874,42.4,"Other/Unknown, ",81053,6.6
PA,R,"Singel, Mark",1433099,39.9,"Ridge, Thomas",1627976,45.4,"Other/Unknown, ",527451,14.7
RI,R,"York, Myrth",157361,43.5,"Almond, Lincoln",171194,47.4,"Other/Unknown, ",32822,9.1
SC,R,"Theodore, Nick",447002,47.9,"Beasley, David",470756,50.4,"Other/Unknown, ",16092,1.7
SD,R,"Beddow, Jim",126273,40.5,"Janklow, William",172515,55.4,"Other/Unknown, ",12825,4.1
TN,R,"Bredesen, Phil",664243,44.7,"Sundquist, Don",807107,54.3,"Other/Unknown, ",15774,1.1
TX,R,"Richards, Ann",2016928,45.9,"Bush, George",2350994,53.5,"Other/Unknown, ",28320,0.6
VT,D,"Dean, Howard",145661,68.7,"Kelley, David",40292,19,"Other/Unknown, ",26093,12.3
WI,R,"Chvala, Chuck",482850,30.9,"Thompson, Tommy",1051326,67.2,"Other/Unknown, ",29659,1.9
WY,R,"Karpan, Kathy",80747,40.2,"Geringer, Jim",118016,58.7,"Other/Unknown, ",2227,1.1
,
"Source: U.S. Political Stats draws on a number of authoritative CQ Press sources for elections data.  Data have been adapted from these CQ Press sources:          America Votes biennial series      America at the Polls series    The America Votes series, covering presidential, gubernatorial, House, and Senate general elections and primaries every election cycle, was first created by Richard M. Scammon and Alice V. McGillivray of the Elections Research Center, Washington, D.C., in 1956. Since 1996 the series has been edited and compiled by Rhodes Cook. The series includes the following:        Scammon, Richard M., Alice V. McGillivray, and the Elections Research Center. America Votes 15. Washington: CQ Press, 1983.       Scammon, Richard M., Alice V. McGillivray, and the Elections Research Center. America Votes 16. Washington: CQ Press, 1985.       Scammon, Richard M., Alice V. McGillivray, and the Elections Research Center. America Votes 17. Washington: CQ Press, 1987.       Scammon, Richard M., Alice V. McGillivray, and the Elections Research Center. America Votes 18. Washington: CQ Press, 1989.       Scammon, Richard M., Alice V. McGillivray, and the Elections Research Center. America Votes 19. Washington: CQ Press, 1991.       Scammon, Richard M., Alice V. McGillivray, and the Elections Research Center. America Votes 20. Washington: CQ Press, 1993.       Scammon, Richard M., Alice V. McGillivray, and the Elections Research Center. America Votes 21. Washington: CQ Press, 1995.       Scammon, Richard M., Alice V. McGillivray, and Rhodes Cook. America Votes 22. Washington: CQ Press, 1998.       Scammon, Richard M., Alice V. McGillivray, and Rhodes Cook. America Votes 23. Washington: CQ Press, 1999.       Scammon, Richard M., Alice V. McGillivray, and Rhodes Cook. America Votes 24. Washington: CQ Press, 2001.       Scammon, Richard M., Alice V. McGillivray, and Rhodes Cook. America Votes 25. Washington: CQ Press, 2003.       Scammon, Richard M., Alice V. McGillivray, and Rhodes Cook. America Votes 26: 2003-2004. Washington: CQ Press, 2006.       Scammon, Richard M., Alice V. McGillivray, and Rhodes Cook. America Votes 27: 2005-2006. Washington: CQ Press, 2008.       Scammon, Richard M., Alice V. McGillivray, and Rhodes Cook. America Votes 28: 2007-2008. Washington: CQ Press, 2010.       Rhodes Cook. America Votes 29: 2009-2010. Washington: CQ Press, 2012.       Rhodes Cook. America Votes 30: 2011-2012. Washington: CQ Press, 2014.     The data in this series are compiled from final, official results obtained from election authorities in each state. On occasion, states may belatedly report vote total changes that occur after publication of the volumes. The editors and CQ Press have made every attempt to incorporate changes and corrections in the data. Where possible, footnotes and notes regarding specific elections or vote totals have been retained in this Collection or integrated into the data. The America at the Polls series, covering presidential general elections and primaries, includes the following:        McGillivray, Alice V., Richard M. Scammon, and Rhodes Cook. America at the Polls 1960 to 2000: John F. Kennedy to George W. Bush. Washington: CQ Press, 2001.     
"
