"Gubernatorial General Election Returns by State (2010)"
"Generated from CQ Press U.S. Political Stats Database, October 23, 2017"
,
,
State,"Winning Party","Dem. Candidate (2010)","Dem. Votes","Dem. %","Rep. Candidate (2010)","Rep. Votes","Rep. %","Highest Other (2010)","Other Votes","Other %"
AK,R,"Berkowitz, Ethan",96519,37.7,"Parnell, Sean",151318,59.1,"Wright, Don",4775,1.9
AL,R,"Sparks, Ron",625710,41.9,"Bentley, Robert",860472,57.6,"Scattered Write-In, ",8091,0.5
AR,D,"Beebe, Mike",503336,64.4,"Keet, Jim",262784,33.6,"Lendall, Jim",14513,1.9
AZ,R,"Goddard, Terry",733935,42.5,"Brewer, Jan",938934,54.3,"Hess, Barry",38722,2.2
CA,D,"Brown, Edmund",5428149,53.8,"Whitman, Meg",4127391,40.9,"Nightingale, Chelene",166312,1.6
CO,D,"Hickenlooper, John",915436,51.1,"Maes, Dan",199792,11.1,"Tancredo, Tom",652376,36.4
CT,D,"Malloy, Dan",567278,49.5,"Foley, Tom",560874,49,"Marsh, Thomas",17629,1.5
FL,R,"Sink, Alex",2557785,47.7,"Scott, Rick",2619335,48.9,"Allen, Peter",123831,2.3
GA,R,"Barnes, Roy",1107011,43,"Deal, Nathan",1365832,53,"Monds, John",103194,4
HI,D,"Abercrombie, Neil",222724,58.2,"Aiona, Duke",157311,41.1,"Cunningham, Daniel",1265,0.3
IA,R,"Culver, Chet",484798,43.2,"Branstad, Terry",592494,52.8,"Narcisse, Jonathan",20859,1.9
ID,R,"Allred, Keith",148680,32.9,"Otter, C.",267483,59.1,"Kemp, Jana",26655,5.9
IL,D,"Quinn, Pat",1745219,46.8,"Brady, Bill",1713385,45.9,"Cohen, Scott",135705,3.6
KS,R,"Holland, Tom",270166,32.2,"Brownback, Sam",530760,63.3,"Gray, Andrew",22460,2.7
MA,D,"Patrick, Deval",1112283,48.4,"Baker, Charles",964866,42,"Cahill, Timothy",184395,8
MD,D,"O'Malley, Martin",1044961,56.2,"Ehrlich, Robert",776319,41.8,"Gaztanaga, Susan",14137,0.8
ME,R,"Mitchell, Elizabeth",109387,19.1,"LePage, Paul",218065,38.1,"Cutler, Eliot",208270,36.4
MI,R,"Bernero, Virg",1287320,39.9,"Snyder, Rick",1874834,58.1,"Proctor, Kenneth",22390,0.7
MN,D,"Dayton, Mark",919232,43.6,"Emmer, Tom",910462,43.2,"Horner, Tom",251487,11.9
NE,R,"Meister, Mike",127343,26.1,"Heineman, Dave",360645,73.9,,,
NH,D,"Lynch, John",240346,52.6,"Stephen, John",205616,45,"Babiarz, John",10089,2.2
NM,R,"Denish, Diane",280614,46.5,"Martinez, Susana",321219,53.3,"Gomez, Kenneth",994,0.2
NV,R,"Reid, Rory",298171,41.6,"Sandoval, Brian",382350,53.4,"None Of These Candidates, ",12231,1.7
NY,D,"Cuomo, Andrew",2911721,62.5,"Paladino, Carl",1548184,33.2,"Hawkins, Howie",59929,1.3
OH,R,"Strickland, Ted",1812059,47,"Kasich, John",1889186,49,"Matesz, Ken",92116,2.4
OK,R,"Askins, Jari",409261,39.6,"Fallin, Mary",625506,60.4,,,
OR,D,"Kitzhaber, John",716525,49.3,"Dudley, Chris",694287,47.8,"Kord, Greg",20475,1.4
PA,R,"Onorato, Dan",1814788,45.5,"Corbett, Tom",2172763,54.5,"Scattered Write-In, ",1551,0
RI,I,"Caprio, Frank",78896,23,"Robitaille, John",114911,33.5,"Chafee, Lincoln",123571,36.1
SC,R,"Sheheen, Vincent",630534,46.9,"Haley, Nikki",690525,51.4,"Reeves, Morgan",20114,1.5
SD,R,"Heidepriem, Scott",122037,38.5,"Daugaard, Dennis",195046,61.5,,,
TN,R,"McWherter, Mike",529851,33.1,"Haslam, Bill",1041545,65,"Whitaker, Carl",6536,0.4
TX,R,"White, Bill",2106395,42.3,"Perry, Rick",2737481,55,"Glass, Kathie",109211,2.2
VT,D,"Shumlin, Peter",119543,49.5,"Dubie, Brian",115212,47.7,"Steele, Dennis",1917,0.8
WI,R,"Barrett, Thomas",1004303,46.5,"Walker, Scott",1128941,52.2,"Langer, Jim",10608,0.5
WY,R,"Petersen, Leslie",43240,22.9,"Mead, Matt",123780,65.7,"Scattered Write-In, ",16081,8.5
,
"Source: U.S. Political Stats draws on a number of authoritative CQ Press sources for elections data.  Data have been adapted from these CQ Press sources:          America Votes biennial series      America at the Polls series    The America Votes series, covering presidential, gubernatorial, House, and Senate general elections and primaries every election cycle, was first created by Richard M. Scammon and Alice V. McGillivray of the Elections Research Center, Washington, D.C., in 1956. Since 1996 the series has been edited and compiled by Rhodes Cook. The series includes the following:        Scammon, Richard M., Alice V. McGillivray, and the Elections Research Center. America Votes 15. Washington: CQ Press, 1983.       Scammon, Richard M., Alice V. McGillivray, and the Elections Research Center. America Votes 16. Washington: CQ Press, 1985.       Scammon, Richard M., Alice V. McGillivray, and the Elections Research Center. America Votes 17. Washington: CQ Press, 1987.       Scammon, Richard M., Alice V. McGillivray, and the Elections Research Center. America Votes 18. Washington: CQ Press, 1989.       Scammon, Richard M., Alice V. McGillivray, and the Elections Research Center. America Votes 19. Washington: CQ Press, 1991.       Scammon, Richard M., Alice V. McGillivray, and the Elections Research Center. America Votes 20. Washington: CQ Press, 1993.       Scammon, Richard M., Alice V. McGillivray, and the Elections Research Center. America Votes 21. Washington: CQ Press, 1995.       Scammon, Richard M., Alice V. McGillivray, and Rhodes Cook. America Votes 22. Washington: CQ Press, 1998.       Scammon, Richard M., Alice V. McGillivray, and Rhodes Cook. America Votes 23. Washington: CQ Press, 1999.       Scammon, Richard M., Alice V. McGillivray, and Rhodes Cook. America Votes 24. Washington: CQ Press, 2001.       Scammon, Richard M., Alice V. McGillivray, and Rhodes Cook. America Votes 25. Washington: CQ Press, 2003.       Scammon, Richard M., Alice V. McGillivray, and Rhodes Cook. America Votes 26: 2003-2004. Washington: CQ Press, 2006.       Scammon, Richard M., Alice V. McGillivray, and Rhodes Cook. America Votes 27: 2005-2006. Washington: CQ Press, 2008.       Scammon, Richard M., Alice V. McGillivray, and Rhodes Cook. America Votes 28: 2007-2008. Washington: CQ Press, 2010.       Rhodes Cook. America Votes 29: 2009-2010. Washington: CQ Press, 2012.       Rhodes Cook. America Votes 30: 2011-2012. Washington: CQ Press, 2014.     The data in this series are compiled from final, official results obtained from election authorities in each state. On occasion, states may belatedly report vote total changes that occur after publication of the volumes. The editors and CQ Press have made every attempt to incorporate changes and corrections in the data. Where possible, footnotes and notes regarding specific elections or vote totals have been retained in this Collection or integrated into the data. The America at the Polls series, covering presidential general elections and primaries, includes the following:        McGillivray, Alice V., Richard M. Scammon, and Rhodes Cook. America at the Polls 1960 to 2000: John F. Kennedy to George W. Bush. Washington: CQ Press, 2001.     
"
