"Gubernatorial General Election Returns by County, National Summary (2014)"
"Generated from CQ Press U.S. Political Stats Database, October 11, 2017"
,
,
State,County,"Winning Party","Dem. Candidate (2014)","Dem. Votes","Dem. %","Rep. Candidate (2014)","Rep. Votes","Rep. %","Highest Other (2014)","Other Votes","Other %"
AK,"Election District 1",I,,,,"Parnell, Sean",2478,42.4,"Walker, Bill",2978,50.9
AK,"Election District 2",R,,,,"Parnell, Sean",1912,50.4,"Walker, Bill",1646,43.4
AK,"Election District 3",R,,,,"Parnell, Sean",3416,56.4,"Walker, Bill",2287,37.8
AK,"Election District 4",I,,,,"Parnell, Sean",3068,35.7,"Walker, Bill",5122,59.5
AK,"Election District 5",I,,,,"Parnell, Sean",2721,39.2,"Walker, Bill",3801,54.8
AK,"Election District 6",I,,,,"Parnell, Sean",3222,45.8,"Walker, Bill",3347,47.6
AK,"Election District 7",R,,,,"Parnell, Sean",3924,56.3,"Walker, Bill",2675,38.4
AK,"Election District 8",R,,,,"Parnell, Sean",3649,56.6,"Walker, Bill",2426,37.6
AK,"Election District 9",R,,,,"Parnell, Sean",3675,48.7,"Walker, Bill",3463,45.9
AK,"Election District 10",R,,,,"Parnell, Sean",4133,54.3,"Walker, Bill",2983,39.2
AK,"Election District 11",R,,,,"Parnell, Sean",4600,56.1,"Walker, Bill",3222,39.3
AK,"Election District 12",R,,,,"Parnell, Sean",4661,56.5,"Walker, Bill",3216,39
AK,"Election District 13",R,,,,"Parnell, Sean",2644,56,"Walker, Bill",1777,37.6
AK,"Election District 14",R,,,,"Parnell, Sean",4959,56,"Walker, Bill",3537,40
AK,"Election District 15",R,,,,"Parnell, Sean",1895,46.5,"Walker, Bill",1846,45.3
AK,"Election District 16",I,,,,"Parnell, Sean",2670,40.8,"Walker, Bill",3409,52.1
AK,"Election District 17",I,,,,"Parnell, Sean",2284,38.2,"Walker, Bill",3281,54.9
AK,"Election District 18",I,,,,"Parnell, Sean",2449,34.8,"Walker, Bill",4120,58.6
AK,"Election District 19",I,,,,"Parnell, Sean",1543,34.8,"Walker, Bill",2493,56.2
AK,"Election District 20",I,,,,"Parnell, Sean",2018,30.9,"Walker, Bill",4097,62.6
AK,"Election District 21",I,,,,"Parnell, Sean",3165,39.2,"Walker, Bill",4480,55.5
AK,"Election District 22",I,,,,"Parnell, Sean",3709,47.7,"Walker, Bill",3713,47.7
AK,"Election District 23",I,,,,"Parnell, Sean",2710,43.6,"Walker, Bill",3146,50.6
AK,"Election District 24",R,,,,"Parnell, Sean",4292,49.8,"Walker, Bill",3976,46.1
AK,"Election District 25",I,,,,"Parnell, Sean",3226,44.7,"Walker, Bill",3573,49.5
AK,"Election District 26",R,,,,"Parnell, Sean",4240,52.3,"Walker, Bill",3486,43
AK,"Election District 27",I,,,,"Parnell, Sean",3573,44.4,"Walker, Bill",4051,50.3
AK,"Election District 28",R,,,,"Parnell, Sean",5147,49.2,"Walker, Bill",4984,47.7
AK,"Election District 29",R,,,,"Parnell, Sean",4659,58.1,"Walker, Bill",2890,36.1
AK,"Election District 30",R,,,,"Parnell, Sean",4755,61.6,"Walker, Bill",2587,33.5
AK,"Election District 31",I,,,,"Parnell, Sean",3844,44.9,"Walker, Bill",4263,49.8
AK,"Election District 32",I,,,,"Parnell, Sean",2472,40.3,"Walker, Bill",3243,52.8
AK,"Election District 33",I,,,,"Parnell, Sean",2857,31.1,"Walker, Bill",5837,63.5
AK,"Election District 34",I,,,,"Parnell, Sean",3966,46,"Walker, Bill",4257,49.4
AK,"Election District 35",I,,,,"Parnell, Sean",3229,40.7,"Walker, Bill",4047,51
AK,"Election District 36",R,,,,"Parnell, Sean",3358,47.4,"Walker, Bill",3257,46
AK,"Election District 37",I,,,,"Parnell, Sean",1931,38,"Walker, Bill",2618,51.6
AK,"Election District 38",I,,,,"Parnell, Sean",1617,30.7,"Walker, Bill",3004,57.1
AK,"Election District 39",I,,,,"Parnell, Sean",2132,36.3,"Walker, Bill",3147,53.6
AK,"Election District 40",I,,,,"Parnell, Sean",1632,36.2,"Walker, Bill",2373,52.7
AL,AUTAUGA,R,"Griffith, Parker",3646,27.8,"Bentley, Robert",9449,72,"Write-In, ",27,0.2
AL,BALDWIN,R,"Griffith, Parker",8452,18.3,"Bentley, Robert",37783,81.6,"Write-In, ",64,0.1
AL,BARBOUR,D,"Griffith, Parker",3657,54,"Bentley, Robert",3114,46,"Write-In, ",3,0
AL,BIBB,R,"Griffith, Parker",1368,27.9,"Bentley, Robert",3525,71.9,"Write-In, ",7,0.1
AL,BLOUNT,R,"Griffith, Parker",2179,15.3,"Bentley, Robert",12081,84.6,"Write-In, ",27,0.2
AL,BULLOCK,D,"Griffith, Parker",2444,76.5,"Bentley, Robert",747,23.4,"Write-In, ",2,0.1
AL,BUTLER,R,"Griffith, Parker",2750,46.5,"Bentley, Robert",3155,53.4,"Write-In, ",7,0.1
AL,CALHOUN,R,"Griffith, Parker",9095,33.9,"Bentley, Robert",17702,66,"Write-In, ",32,0.1
AL,CHAMBERS,R,"Griffith, Parker",3640,44.1,"Bentley, Robert",4605,55.8,"Write-In, ",6,0.1
AL,CHEROKEE,R,"Griffith, Parker",1869,27.2,"Bentley, Robert",5010,72.8,"Write-In, ",4,0.1
AL,CHILTON,R,"Griffith, Parker",2424,21.1,"Bentley, Robert",9036,78.7,"Write-In, ",16,0.1
AL,CHOCTAW,R,"Griffith, Parker",1949,45,"Bentley, Robert",2381,55,"Write-In, ",2,0
AL,CLARKE,R,"Griffith, Parker",3530,41.4,"Bentley, Robert",5000,58.6,"Write-In, ",0,0
AL,CLAY,R,"Griffith, Parker",1223,27.5,"Bentley, Robert",3214,72.4,"Write-In, ",3,0.1
AL,CLEBURNE,R,"Griffith, Parker",717,18.6,"Bentley, Robert",3129,81.3,"Write-In, ",4,0.1
AL,COFFEE,R,"Griffith, Parker",2405,21.9,"Bentley, Robert",8555,78,"Write-In, ",10,0.1
AL,COLBERT,R,"Griffith, Parker",6119,38.9,"Bentley, Robert",9551,60.8,"Write-In, ",41,0.3
