"Gubernatorial General Election Returns by County, National Summary (1990)"
"Generated from CQ Press U.S. Political Stats Database, October 20, 2017"
,
,
State,County,"Winning Party","Dem. Candidate (1990)","Dem. Votes","Dem. %","Rep. Candidate (1990)","Rep. Votes","Rep. %","Highest Other (1990)","Other Votes","Other %"
AK,"Election District 1",I,"Knowles, Tony",2257,29.4,"Sturgulewski, Arliss",1816,23.6,"Hickel, Walter",3301,42.9
AK,"Election District 10",I,"Knowles, Tony",2509,24.4,"Sturgulewski, Arliss",3278,31.9,"Hickel, Walter",4137,40.3
AK,"Election District 11",I,"Knowles, Tony",1831,29.8,"Sturgulewski, Arliss",1573,25.6,"Hickel, Walter",2463,40.1
AK,"Election District 12",D,"Knowles, Tony",2650,36.9,"Sturgulewski, Arliss",1971,27.4,"Hickel, Walter",2274,31.7
AK,"Election District 13",I,"Knowles, Tony",2196,30.8,"Sturgulewski, Arliss",1867,26.2,"Hickel, Walter",2808,39.3
AK,"Election District 14",I,"Knowles, Tony",2628,27.4,"Sturgulewski, Arliss",3004,31.3,"Hickel, Walter",3651,38
AK,"Election District 15",I,"Knowles, Tony",2845,23.5,"Sturgulewski, Arliss",3512,29.1,"Hickel, Walter",5327,44.1
AK,"Election District 16",I,"Knowles, Tony",2590,17.6,"Sturgulewski, Arliss",3403,23.1,"Hickel, Walter",7912,53.7
AK,"Election District 17",I,"Knowles, Tony",946,20.5,"Sturgulewski, Arliss",627,13.6,"Hickel, Walter",2840,61.6
AK,"Election District 18",I,"Knowles, Tony",1348,18.9,"Sturgulewski, Arliss",1526,21.4,"Hickel, Walter",4064,57
AK,"Election District 19",I,"Knowles, Tony",1948,29.2,"Sturgulewski, Arliss",1281,19.2,"Hickel, Walter",3055,45.7
AK,"Election District 2",D,"Knowles, Tony",2068,45.3,"Sturgulewski, Arliss",923,20.2,"Hickel, Walter",1333,29.2
AK,"Election District 20",I,"Knowles, Tony",2119,24.3,"Sturgulewski, Arliss",1607,18.5,"Hickel, Walter",4704,54
AK,"Election District 21",I,"Knowles, Tony",1840,32.7,"Sturgulewski, Arliss",1163,20.6,"Hickel, Walter",2224,39.5
AK,"Election District 22",D,"Knowles, Tony",2610,72.5,"Sturgulewski, Arliss",393,10.9,"Hickel, Walter",536,14.9
AK,"Election District 23",D,"Knowles, Tony",2313,63.7,"Sturgulewski, Arliss",640,17.6,"Hickel, Walter",598,16.5
AK,"Election District 24",D,"Knowles, Tony",2137,61.9,"Sturgulewski, Arliss",508,14.7,"Hickel, Walter",715,20.7
AK,"Election District 25",D,"Knowles, Tony",2310,68.2,"Sturgulewski, Arliss",621,18.3,"Hickel, Walter",361,10.7
AK,"Election District 26",D,"Knowles, Tony",1981,50.7,"Sturgulewski, Arliss",1083,27.7,"Hickel, Walter",697,17.8
AK,"Election District 27",D,"Knowles, Tony",1648,43.6,"Sturgulewski, Arliss",1017,26.9,"Hickel, Walter",941,24.9
AK,"Election District 3",D,"Knowles, Tony",1771,45.2,"Sturgulewski, Arliss",625,15.9,"Hickel, Walter",1318,33.6
AK,"Election District 4",R,"Knowles, Tony",4535,36.2,"Sturgulewski, Arliss",5031,40.2,"Hickel, Walter",2546,20.3
AK,"Election District 5",I,"Knowles, Tony",2646,24,"Sturgulewski, Arliss",3028,27.5,"Hickel, Walter",4652,42.3
AK,"Election District 6",I,"Knowles, Tony",1221,29.4,"Sturgulewski, Arliss",965,23.3,"Hickel, Walter",1759,42.4
AK,"Election District 7",I,"Knowles, Tony",1586,25.4,"Sturgulewski, Arliss",1892,30.3,"Hickel, Walter",2546,40.7
AK,"Election District 8",I,"Knowles, Tony",2771,23,"Sturgulewski, Arliss",4010,33.3,"Hickel, Walter",4885,40.6
AK,"Election District 9",I,"Knowles, Tony",2897,26.5,"Sturgulewski, Arliss",3627,33.2,"Hickel, Walter",4074,37.3
AL,AUTAUGA,R,"Hubbert, Paul",4521,39.8,"Hunt, Guy",6833,60.2,"Other/Unknown, ",,
AL,BALDWIN,R,"Hubbert, Paul",12033,40.9,"Hunt, Guy",17382,59.1,"Other/Unknown, ",,
AL,BARBOUR,D,"Hubbert, Paul",4863,61.1,"Hunt, Guy",3100,38.9,"Other/Unknown, ",,
AL,BIBB,D,"Hubbert, Paul",3181,52.3,"Hunt, Guy",2901,47.7,"Other/Unknown, ",2,0
AL,BLOUNT,R,"Hubbert, Paul",4524,34.9,"Hunt, Guy",8457,65.1,"Other/Unknown, ",,
