"Gubernatorial General Election Returns by County, National Summary (1995)"
"Generated from CQ Press U.S. Political Stats Database, October 20, 2017"
,
,
State,County,"Winning Party","Dem. Candidate (1995)","Dem. Votes","Dem. %","Rep. Candidate (1995)","Rep. Votes","Rep. %","Highest Other (1995)","Other Votes","Other %"
KY,ADAIR,R,"Patton, Paul",1528,34.1,"Forgy, Larry",2951,65.8,"Other/Unknown, ",3,0.1
KY,ALLEN,R,"Patton, Paul",1327,42,"Forgy, Larry",1829,58,"Other/Unknown, ",,
KY,ANDERSON,R,"Patton, Paul",2591,47.8,"Forgy, Larry",2783,51.4,"Other/Unknown, ",43,0.8
KY,BALLARD,D,"Patton, Paul",1959,67.5,"Forgy, Larry",938,32.3,"Other/Unknown, ",7,0.2
KY,BARREN,D,"Patton, Paul",4672,54.6,"Forgy, Larry",3882,45.4,"Other/Unknown, ",,
KY,BATH,D,"Patton, Paul",1844,58.3,"Forgy, Larry",1309,41.4,"Other/Unknown, ",8,0.3
KY,BELL,D,"Patton, Paul",3196,50.4,"Forgy, Larry",3140,49.5,"Other/Unknown, ",2,0
KY,BOONE,R,"Patton, Paul",4835,32.6,"Forgy, Larry",9990,67.3,"Other/Unknown, ",14,0.1
KY,BOURBON,D,"Patton, Paul",2347,52.1,"Forgy, Larry",2087,46.3,"Other/Unknown, ",69,1.5
KY,BOYD,D,"Patton, Paul",7863,61,"Forgy, Larry",5012,38.9,"Other/Unknown, ",6,0
KY,BOYLE,R,"Patton, Paul",3021,47,"Forgy, Larry",3364,52.3,"Other/Unknown, ",49,0.8
KY,BRACKEN,R,"Patton, Paul",893,44.7,"Forgy, Larry",1099,55.1,"Other/Unknown, ",4,0.2
KY,BREATHITT,D,"Patton, Paul",2393,67,"Forgy, Larry",1177,33,"Other/Unknown, ",2,0.1
KY,BRECKINRIDGE,R,"Patton, Paul",2427,49.5,"Forgy, Larry",2474,50.4,"Other/Unknown, ",4,0.1
KY,BULLITT,D,"Patton, Paul",6145,52.4,"Forgy, Larry",5530,47.1,"Other/Unknown, ",57,0.5
KY,BUTLER,R,"Patton, Paul",880,26,"Forgy, Larry",2503,74,"Other/Unknown, ",,
KY,CALDWELL,D,"Patton, Paul",2009,55.6,"Forgy, Larry",1602,44.3,"Other/Unknown, ",2,0.1
KY,CALLOWAY,R,"Patton, Paul",3916,46.2,"Forgy, Larry",4537,53.5,"Other/Unknown, ",20,0.2
KY,CAMPBELL,R,"Patton, Paul",7918,40.1,"Forgy, Larry",11838,59.9,"Other/Unknown, ",11,0.1
KY,CARLISLE,D,"Patton, Paul",1212,63.9,"Forgy, Larry",685,36.1,"Other/Unknown, ",1,0.1
KY,CARROLL,D,"Patton, Paul",1340,61.3,"Forgy, Larry",847,38.7,"Other/Unknown, ",,
KY,CARTER,D,"Patton, Paul",3024,59.1,"Forgy, Larry",2085,40.8,"Other/Unknown, ",7,0.1
KY,CASEY,R,"Patton, Paul",970,25.9,"Forgy, Larry",2774,74,"Other/Unknown, ",7,0.2
KY,CHRISTIAN,D,"Patton, Paul",5229,52.3,"Forgy, Larry",4764,47.7,"Other/Unknown, ",3,0
KY,CLARK,D,"Patton, Paul",3951,50.8,"Forgy, Larry",3769,48.4,"Other/Unknown, ",63,0.8
KY,CLAY,R,"Patton, Paul",1939,36.3,"Forgy, Larry",3395,63.6,"Other/Unknown, ",1,0
KY,CLINTON,R,"Patton, Paul",967,35.6,"Forgy, Larry",1752,64.4,"Other/Unknown, ",,
KY,CRITTENDEN,R,"Patton, Paul",1207,48.6,"Forgy, Larry",1271,51.2,"Other/Unknown, ",4,0.2
KY,CUMBERLAND,R,"Patton, Paul",644,28,"Forgy, Larry",1654,71.9,"Other/Unknown, ",1,0
KY,DAVIESS,D,"Patton, Paul",13557,51.9,"Forgy, Larry",12561,48.1,"Other/Unknown, ",9,0
KY,EDMONSON,R,"Patton, Paul",1072,33.8,"Forgy, Larry",2102,66.2,"Other/Unknown, ",,
KY,ELLIOTT,D,"Patton, Paul",1368,85.2,"Forgy, Larry",237,14.8,"Other/Unknown, ",1,0.1
KY,ESTILL,R,"Patton, Paul",1662,41.4,"Forgy, Larry",2330,58,"Other/Unknown, ",27,0.7
KY,FAYETTE,R,"Patton, Paul",28264,44.8,"Forgy, Larry",33932,53.8,"Other/Unknown, ",931,1.5
KY,FLEMING,R,"Patton, Paul",2035,47.5,"Forgy, Larry",2234,52.1,"Other/Unknown, ",18,0.4
KY,FLOYD,D,"Patton, Paul",9893,76,"Forgy, Larry",3106,23.9,"Other/Unknown, ",10,0.1
KY,FRANKLIN,D,"Patton, Paul",10249,56.7,"Forgy, Larry",7668,42.4,"Other/Unknown, ",160,0.9
KY,FULTON,D,"Patton, Paul",1042,57.2,"Forgy, Larry",780,42.8,"Other/Unknown, ",1,0.1
KY,GALLATIN,D,"Patton, Paul",757,57.1,"Forgy, Larry",562,42.4,"Other/Unknown, ",6,0.5
KY,GARRARD,R,"Patton, Paul",1290,36.7,"Forgy, Larry",2203,62.7,"Other/Unknown, ",19,0.5
KY,GRANT,R,"Patton, Paul",1612,45.3,"Forgy, Larry",1944,54.6,"Other/Unknown, ",4,0.1
KY,GRAVES,D,"Patton, Paul",5505,58.7,"Forgy, Larry",3868,41.3,"Other/Unknown, ",,
KY,GRAYSON,R,"Patton, Paul",2245,39.7,"Forgy, Larry",3411,60.3,"Other/Unknown, ",1,0
KY,GREEN,R,"Patton, Paul",1419,38.8,"Forgy, Larry",2238,61.1,"Other/Unknown, ",3,0.1
KY,GREENUP,D,"Patton, Paul",5389,59.7,"Forgy, Larry",3625,40.2,"Other/Unknown, ",8,0.1
KY,HANCOCK,D,"Patton, Paul",1272,51.6,"Forgy, Larry",1195,48.4,"Other/Unknown, ",,
KY,HARDIN,R,"Patton, Paul",8899,49,"Forgy, Larry",9231,50.8,"Other/Unknown, ",47,0.3
