"Gubernatorial General Election Returns by County, National Summary (2003)"
"Generated from CQ Press U.S. Political Stats Database, October 11, 2017"
,
,
State,County,"Winning Party","Dem. Candidate (2003)","Dem. Votes","Dem. %","Rep. Candidate (2003)","Rep. Votes","Rep. %","Highest Other (2003)","Other Votes","Other %"
KY,ADAIR,R,"Chandler, Ben",1574,33.8,"Fletcher, Ernest",3085,66.2,,,
KY,ALLEN,R,"Chandler, Ben",1186,35,"Fletcher, Ernest",2202,65,,,
KY,ANDERSON,R,"Chandler, Ben",2839,41.2,"Fletcher, Ernest",4052,58.8,,,
KY,BALLARD,D,"Chandler, Ben",1647,53.5,"Fletcher, Ernest",1433,46.5,,,
KY,BARREN,R,"Chandler, Ben",3895,43.5,"Fletcher, Ernest",5065,56.5,,,
KY,BATH,D,"Chandler, Ben",1887,57.4,"Fletcher, Ernest",1398,42.6,,,
KY,BELL,R,"Chandler, Ben",2379,45.2,"Fletcher, Ernest",2885,54.8,,,
KY,BOONE,R,"Chandler, Ben",5714,28.4,"Fletcher, Ernest",14399,71.6,,,
KY,BOURBON,R,"Chandler, Ben",2350,44.4,"Fletcher, Ernest",2941,55.6,,,
KY,BOYD,D,"Chandler, Ben",6596,57.5,"Fletcher, Ernest",4874,42.5,,,
KY,BOYLE,R,"Chandler, Ben",3408,40.9,"Fletcher, Ernest",4929,59.1,,,
KY,BRACKEN,R,"Chandler, Ben",1025,47.4,"Fletcher, Ernest",1139,52.6,,,
KY,BREATHITT,D,"Chandler, Ben",2583,67.6,"Fletcher, Ernest",1236,32.4,,,
KY,BRECKINRIDGE,R,"Chandler, Ben",2238,42.7,"Fletcher, Ernest",3007,57.3,,,
KY,BULLITT,R,"Chandler, Ben",6458,41.4,"Fletcher, Ernest",9127,58.6,,,
KY,BUTLER,R,"Chandler, Ben",932,28.9,"Fletcher, Ernest",2294,71.1,,,
KY,CALDWELL,R,"Chandler, Ben",1812,45.4,"Fletcher, Ernest",2181,54.6,,,
KY,CALLOWAY,R,"Chandler, Ben",4130,46.3,"Fletcher, Ernest",4792,53.7,,,
KY,CAMPBELL,R,"Chandler, Ben",7561,36.5,"Fletcher, Ernest",13154,63.5,,,
KY,CARLISLE,R,"Chandler, Ben",999,49.6,"Fletcher, Ernest",1014,50.4,,,
KY,CARROLL,D,"Chandler, Ben",1252,55.8,"Fletcher, Ernest",991,44.2,,,
KY,CARTER,D,"Chandler, Ben",3387,60.4,"Fletcher, Ernest",2219,39.6,,,
KY,CASEY,R,"Chandler, Ben",977,24.8,"Fletcher, Ernest",2958,75.2,,,
KY,CHRISTIAN,R,"Chandler, Ben",4832,44.9,"Fletcher, Ernest",5921,55.1,,,
KY,CLARK,R,"Chandler, Ben",4151,42.6,"Fletcher, Ernest",5600,57.4,,,
KY,CLAY,R,"Chandler, Ben",2033,39.7,"Fletcher, Ernest",3092,60.3,,,
KY,CLINTON,R,"Chandler, Ben",608,23.9,"Fletcher, Ernest",1935,76.1,,,
KY,CRITTENDEN,R,"Chandler, Ben",1083,39.9,"Fletcher, Ernest",1633,60.1,,,
KY,CUMBERLAND,R,"Chandler, Ben",607,32.7,"Fletcher, Ernest",1250,67.3,,,
KY,DAVIESS,R,"Chandler, Ben",12503,47.5,"Fletcher, Ernest",13794,52.5,,,
KY,EDMONSON,R,"Chandler, Ben",1277,39.9,"Fletcher, Ernest",1927,60.1,,,
KY,ELLIOTT,D,"Chandler, Ben",1276,78.3,"Fletcher, Ernest",354,21.7,,,
KY,ESTILL,R,"Chandler, Ben",1506,40.9,"Fletcher, Ernest",2176,59.1,,,
KY,FAYETTE,R,"Chandler, Ben",35598,45.7,"Fletcher, Ernest",42260,54.3,,,
KY,FLEMING,R,"Chandler, Ben",1962,47.7,"Fletcher, Ernest",2151,52.3,,,
KY,FLOYD,D,"Chandler, Ben",7114,66.3,"Fletcher, Ernest",3611,33.7,,,
KY,FRANKLIN,D,"Chandler, Ben",10419,53.3,"Fletcher, Ernest",9126,46.7,,,
KY,FULTON,D,"Chandler, Ben",945,51.8,"Fletcher, Ernest",880,48.2,,,
KY,GALLATIN,R,"Chandler, Ben",740,46.5,"Fletcher, Ernest",851,53.5,,,
KY,GARRARD,R,"Chandler, Ben",1412,32,"Fletcher, Ernest",2994,68,,,
KY,GRANT,R,"Chandler, Ben",1811,41.3,"Fletcher, Ernest",2575,58.7,,,
KY,GRAVES,R,"Chandler, Ben",5788,48.4,"Fletcher, Ernest",6180,51.6,,,
KY,GRAYSON,R,"Chandler, Ben",2036,34.5,"Fletcher, Ernest",3873,65.5,,,
KY,GREEN,R,"Chandler, Ben",1092,32.8,"Fletcher, Ernest",2236,67.2,,,
KY,GREENUP,D,"Chandler, Ben",4751,56.1,"Fletcher, Ernest",3720,43.9,,,
KY,HANCOCK,D,"Chandler, Ben",1461,56.7,"Fletcher, Ernest",1114,43.3,,,
KY,HARDIN,R,"Chandler, Ben",8284,39.6,"Fletcher, Ernest",12631,60.4,,,
KY,HARLAN,D,"Chandler, Ben",3205,52.9,"Fletcher, Ernest",2851,47.1,,,
KY,HARRISON,R,"Chandler, Ben",2247,43.2,"Fletcher, Ernest",2953,56.8,,,
KY,HART,R,"Chandler, Ben",1996,47.7,"Fletcher, Ernest",2187,52.3,,,
KY,HENDERSON,D,"Chandler, Ben",5903,52.9,"Fletcher, Ernest",5252,47.1,,,
KY,HENRY,R,"Chandler, Ben",2065,46.5,"Fletcher, Ernest",2376,53.5,,,
KY,HICKMAN,R,"Chandler, Ben",843,49.5,"Fletcher, Ernest",859,50.5,,,
KY,HOPKINS,R,"Chandler, Ben",4648,43.4,"Fletcher, Ernest",6074,56.6,,,
KY,JACKSON,R,"Chandler, Ben",606,19,"Fletcher, Ernest",2590,81,,,
KY,JEFFERSON,D,"Chandler, Ben",107786,51.2,"Fletcher, Ernest",102716,48.8,,,
KY,JESSAMINE,R,"Chandler, Ben",3992,34.7,"Fletcher, Ernest",7520,65.3,,,
KY,JOHNSON,R,"Chandler, Ben",2266,40.4,"Fletcher, Ernest",3348,59.6,,,
KY,KENTON,R,"Chandler, Ben",11798,35,"Fletcher, Ernest",21935,65,,,
KY,KNOTT,D,"Chandler, Ben",2691,63.1,"Fletcher, Ernest",1572,36.9,,,
