"Gubernatorial General Election Returns by County, National Summary (1996)"
"Generated from CQ Press U.S. Political Stats Database, October 20, 2017"
,
,
State,County,"Winning Party","Dem. Candidate (1996)","Dem. Votes","Dem. %","Rep. Candidate (1996)","Rep. Votes","Rep. %","Highest Other (1996)","Other Votes","Other %"
DE,KENT,D,"Carper, Thomas",24946,63.2,"Rzewnicki, Janet",14503,36.8,"Other/Unknown, ",,
DE,"NEW CASTLE",D,"Carper, Thomas",129512,72.1,"Rzewnicki, Janet",50081,27.9,"Other/Unknown, ",,
DE,SUSSEX,D,"Carper, Thomas",33842,65.2,"Rzewnicki, Janet",18070,34.8,"Other/Unknown, ",,
IN,ADAMS,R,"O'Bannon, Frank",5845,46.6,"Goldsmith, Stephen",6475,51.6,"Other/Unknown, ",219,1.7
IN,ALLEN,R,"O'Bannon, Frank",49200,44.8,"Goldsmith, Stephen",58648,53.4,"Other/Unknown, ",1961,1.8
IN,BARTHOLOMEW,R,"O'Bannon, Frank",11152,44,"Goldsmith, Stephen",13805,54.4,"Other/Unknown, ",405,1.6
IN,BENTON,R,"O'Bannon, Frank",1736,44.4,"Goldsmith, Stephen",2079,53.1,"Other/Unknown, ",97,2.5
IN,BLACKFORD,D,"O'Bannon, Frank",2716,53.4,"Goldsmith, Stephen",2270,44.6,"Other/Unknown, ",98,1.9
IN,BOONE,R,"O'Bannon, Frank",6543,37.6,"Goldsmith, Stephen",10597,60.9,"Other/Unknown, ",272,1.6
IN,BROWN,D,"O'Bannon, Frank",3193,50.5,"Goldsmith, Stephen",2946,46.6,"Other/Unknown, ",178,2.8
IN,CARROLL,R,"O'Bannon, Frank",3513,43.8,"Goldsmith, Stephen",4350,54.2,"Other/Unknown, ",166,2.1
IN,CASS,R,"O'Bannon, Frank",7188,47.1,"Goldsmith, Stephen",7779,51,"Other/Unknown, ",285,1.9
IN,CLARK,D,"O'Bannon, Frank",22582,63.9,"Goldsmith, Stephen",12426,35.1,"Other/Unknown, ",351,1
IN,CLAY,D,"O'Bannon, Frank",5546,56.4,"Goldsmith, Stephen",4131,42,"Other/Unknown, ",161,1.6
IN,CLINTON,R,"O'Bannon, Frank",4870,42.3,"Goldsmith, Stephen",6418,55.8,"Other/Unknown, ",221,1.9
IN,CRAWFORD,D,"O'Bannon, Frank",3053,64.4,"Goldsmith, Stephen",1617,34.1,"Other/Unknown, ",72,1.5
IN,DAVIESS,R,"O'Bannon, Frank",4618,47.4,"Goldsmith, Stephen",4986,51.1,"Other/Unknown, ",144,1.5
IN,DEARBORN,R,"O'Bannon, Frank",7534,47.5,"Goldsmith, Stephen",8014,50.5,"Other/Unknown, ",328,2.1
IN,DECATUR,R,"O'Bannon, Frank",4310,45.7,"Goldsmith, Stephen",4945,52.5,"Other/Unknown, ",168,1.8
IN,DEKALB,R,"O'Bannon, Frank",5929,44.7,"Goldsmith, Stephen",7098,53.5,"Other/Unknown, ",240,1.8
IN,DELAWARE,D,"O'Bannon, Frank",22549,50.7,"Goldsmith, Stephen",21172,47.6,"Other/Unknown, ",789,1.8
IN,DUBOIS,D,"O'Bannon, Frank",8658,60.1,"Goldsmith, Stephen",5543,38.5,"Other/Unknown, ",196,1.4
IN,ELKHART,R,"O'Bannon, Frank",21088,41.6,"Goldsmith, Stephen",28889,57.1,"Other/Unknown, ",657,1.3
