"Gubernatorial General Election Returns by County, National Summary (2010)"
"Generated from CQ Press U.S. Political Stats Database, October 11, 2017"
,
,
State,County,"Winning Party","Dem. Candidate (2010)","Dem. Votes","Dem. %","Rep. Candidate (2010)","Rep. Votes","Rep. %","Highest Other (2010)","Other Votes","Other %"
AK,"Election District 1",R,"Berkowitz, Ethan",1650,31,"Parnell, Sean",3464,65.1,"Wright, Don",134,2.5
AK,"Election District 10",R,"Berkowitz, Ethan",1121,31.1,"Parnell, Sean",2328,64.7,"Wright, Don",78,2.2
AK,"Election District 11",R,"Berkowitz, Ethan",1451,19.5,"Parnell, Sean",5727,76.8,"Wright, Don",183,2.5
AK,"Election District 12",R,"Berkowitz, Ethan",1538,28.6,"Parnell, Sean",3657,67.9,"Wright, Don",103,1.9
AK,"Election District 13",R,"Berkowitz, Ethan",2625,28.1,"Parnell, Sean",6495,69.5,"Wright, Don",121,1.3
AK,"Election District 14",R,"Berkowitz, Ethan",2010,25.1,"Parnell, Sean",5752,71.8,"Wright, Don",137,1.7
AK,"Election District 15",R,"Berkowitz, Ethan",2515,28.9,"Parnell, Sean",5832,67.1,"Wright, Don",204,2.3
AK,"Election District 16",R,"Berkowitz, Ethan",2595,29,"Parnell, Sean",6146,68.6,"Wright, Don",93,1
AK,"Election District 17",R,"Berkowitz, Ethan",2052,28.4,"Parnell, Sean",5045,69.7,"Wright, Don",73,1
AK,"Election District 18",R,"Berkowitz, Ethan",829,26.5,"Parnell, Sean",2182,69.8,"Wright, Don",52,1.7
AK,"Election District 19",R,"Berkowitz, Ethan",2449,42.7,"Parnell, Sean",3122,54.4,"Wright, Don",84,1.5
AK,"Election District 2",R,"Berkowitz, Ethan",2456,39.6,"Parnell, Sean",3564,57.5,"Wright, Don",110,1.8
AK,"Election District 20",R,"Berkowitz, Ethan",1594,46.4,"Parnell, Sean",1704,49.6,"Wright, Don",63,1.8
AK,"Election District 21",R,"Berkowitz, Ethan",2853,41.5,"Parnell, Sean",3863,56.1,"Wright, Don",70,1
AK,"Election District 22",D,"Berkowitz, Ethan",2582,52.6,"Parnell, Sean",2202,44.9,"Wright, Don",70,1.4
AK,"Election District 23",D,"Berkowitz, Ethan",3156,57.5,"Parnell, Sean",2202,40.1,"Wright, Don",62,1.1
AK,"Election District 24",R,"Berkowitz, Ethan",2627,44.7,"Parnell, Sean",3089,52.5,"Wright, Don",70,1.2
AK,"Election District 25",D,"Berkowitz, Ethan",2537,51.6,"Parnell, Sean",2233,45.4,"Wright, Don",67,1.4
AK,"Election District 26",D,"Berkowitz, Ethan",3773,53.2,"Parnell, Sean",3177,44.8,"Wright, Don",61,0.9
AK,"Election District 27",R,"Berkowitz, Ethan",2623,37.6,"Parnell, Sean",4193,60.1,"Wright, Don",80,1.1
AK,"Election District 28",R,"Berkowitz, Ethan",2956,36.4,"Parnell, Sean",5022,61.8,"Wright, Don",67,0.8
AK,"Election District 29",R,"Berkowitz, Ethan",2073,40.5,"Parnell, Sean",2898,56.7,"Wright, Don",69,1.3
AK,"Election District 3",D,"Berkowitz, Ethan",3955,55.3,"Parnell, Sean",3055,42.7,"Wright, Don",66,0.9
AK,"Election District 30",R,"Berkowitz, Ethan",2958,39.3,"Parnell, Sean",4419,58.7,"Wright, Don",92,1.2
AK,"Election District 31",R,"Berkowitz, Ethan",3066,35.1,"Parnell, Sean",5498,63,"Wright, Don",78,0.9
AK,"Election District 32",R,"Berkowitz, Ethan",4247,40.3,"Parnell, Sean",6077,57.7,"Wright, Don",85,0.8
AK,"Election District 33",R,"Berkowitz, Ethan",1840,26.6,"Parnell, Sean",4835,70,"Wright, Don",124,1.8
AK,"Election District 34",R,"Berkowitz, Ethan",1659,21.8,"Parnell, Sean",5704,74.9,"Wright, Don",146,1.9
AK,"Election District 35",R,"Berkowitz, Ethan",3311,44.8,"Parnell, Sean",3860,52.2,"Wright, Don",141,1.9
AK,"Election District 36",R,"Berkowitz, Ethan",1639,34.8,"Parnell, Sean",2865,60.9,"Wright, Don",123,2.6
AK,"Election District 37",R,"Berkowitz, Ethan",1524,40.9,"Parnell, Sean",1949,52.4,"Wright, Don",159,4.3
AK,"Election District 38",R,"Berkowitz, Ethan",1783,42.4,"Parnell, Sean",2082,49.5,"Wright, Don",246,5.8
AK,"Election District 39",R,"Berkowitz, Ethan",2064,45.2,"Parnell, Sean",2086,45.7,"Wright, Don",302,6.6
AK,"Election District 4",R,"Berkowitz, Ethan",2650,38.1,"Parnell, Sean",4173,60,"Wright, Don",55,0.8
AK,"Election District 40",D,"Berkowitz, Ethan",1776,47.1,"Parnell, Sean",1631,43.3,"Wright, Don",254,6.7
AK,"Election District 5",R,"Berkowitz, Ethan",2484,43,"Parnell, Sean",2996,51.9,"Wright, Don",183,3.2
AK,"Election District 6",R,"Berkowitz, Ethan",1976,34.8,"Parnell, Sean",3351,59,"Wright, Don",252,4.4
AK,"Election District 7",R,"Berkowitz, Ethan",3642,38.8,"Parnell, Sean",5484,58.4,"Wright, Don",170,1.8
AK,"Election District 8",R,"Berkowitz, Ethan",3952,46.8,"Parnell, Sean",4243,50.2,"Wright, Don",152,1.8
AK,"Election District 9",R,"Berkowitz, Ethan",1928,37,"Parnell, Sean",3113,59.8,"Wright, Don",96,1.8
AL,AUTAUGA,R,"Sparks, Ron",5971,33.1,"Bentley, Robert",11943,66.2,"Scattered Write-In, ",120,0.7
AL,BALDWIN,R,"Sparks, Ron",12621,21.9,"Bentley, Robert",44126,76.5,"Scattered Write-In, ",957,1.7
