"Gubernatorial General Election Returns by County, National Summary (2013)"
"Generated from CQ Press U.S. Political Stats Database, October 11, 2017"
,
,
State,County,"Winning Party","Dem. Candidate (2013)","Dem. Votes","Dem. %","Rep. Candidate (2013)","Rep. Votes","Rep. %","Highest Other (2013)","Other Votes","Other %"
NJ,ATLANTIC,R,"Buono, Barbara",25557,36.1,"Christie, Chris",43975,62.2,"Kaplan, Kenneth",432,0.6
NJ,BERGEN,R,"Buono, Barbara",87376,38.7,"Christie, Chris",136178,60.2,"Kaplan, Kenneth",1009,0.4
NJ,BURLINGTON,R,"Buono, Barbara",46161,36.3,"Christie, Chris",79220,62.3,"Kaplan, Kenneth",755,0.6
NJ,CAMDEN,R,"Buono, Barbara",51546,43.7,"Christie, Chris",64545,54.8,"Kaplan, Kenneth",719,0.6
NJ,"CAPE MAY",R,"Buono, Barbara",8798,26.8,"Christie, Chris",23531,71.6,"Kaplan, Kenneth",178,0.5
NJ,CUMBERLAND,R,"Buono, Barbara",13129,41.5,"Christie, Chris",17943,56.7,"Kaplan, Kenneth",220,0.7
NJ,ESSEX,D,"Buono, Barbara",95747,61.9,"Christie, Chris",57353,37,"Kaplan, Kenneth",625,0.4
NJ,GLOUCESTER,R,"Buono, Barbara",27060,34.3,"Christie, Chris",50640,64.1,"Kaplan, Kenneth",591,0.7
NJ,HUDSON,D,"Buono, Barbara",53386,54.7,"Christie, Chris",42567,43.6,"Kaplan, Kenneth",438,0.4
NJ,HUNTERDON,R,"Buono, Barbara",10425,24.5,"Christie, Chris",31292,73.5,"Kaplan, Kenneth",385,0.9
NJ,MERCER,R,"Buono, Barbara",43282,46.3,"Christie, Chris",48530,51.9,"Kaplan, Kenneth",574,0.6
NJ,MIDDLESEX,R,"Buono, Barbara",70225,40.3,"Christie, Chris",101619,58.3,"Kaplan, Kenneth",790,0.5
NJ,MONMOUTH,R,"Buono, Barbara",48477,27.8,"Christie, Chris",123417,70.7,"Kaplan, Kenneth",1032,0.6
NJ,MORRIS,R,"Buono, Barbara",39824,28.2,"Christie, Chris",98888,70.1,"Kaplan, Kenneth",1036,0.7
NJ,OCEAN,R,"Buono, Barbara",37930,22.8,"Christie, Chris",125781,75.8,"Kaplan, Kenneth",832,0.5
NJ,PASSAIC,R,"Buono, Barbara",46825,46,"Christie, Chris",53858,52.9,"Kaplan, Kenneth",368,0.4
NJ,SALEM,R,"Buono, Barbara",5889,30.8,"Christie, Chris",12748,66.6,"Kaplan, Kenneth",197,1
NJ,SOMERSET,R,"Buono, Barbara",26913,30.8,"Christie, Chris",58981,67.6,"Kaplan, Kenneth",696,0.8
NJ,SUSSEX,R,"Buono, Barbara",10704,25.5,"Christie, Chris",29873,71.1,"Kaplan, Kenneth",542,1.3
NJ,UNION,R,"Buono, Barbara",53869,47.4,"Christie, Chris",58135,51.2,"Kaplan, Kenneth",498,0.4
NJ,WARREN,R,"Buono, Barbara",6855,25.1,"Christie, Chris",19858,72.6,"Kaplan, Kenneth",238,0.9
VA,ACCOMACK,R,"McAuliffe, Terry",3806,41.9,"Cuccinelli, Ken",4879,53.7,"Sarvis, Robert",382,4.2
VA,ALBEMARLE,D,"McAuliffe, Terry",19039,54.3,"Cuccinelli, Ken",12408,35.4,"Sarvis, Robert",3279,9.3
VA,ALLEGHANY,R,"McAuliffe, Terry",1628,39.4,"Cuccinelli, Ken",1993,48.2,"Sarvis, Robert",487,11.8
VA,AMELIA,R,"McAuliffe, Terry",1338,31.4,"Cuccinelli, Ken",2613,61.4,"Sarvis, Robert",290,6.8
VA,AMHERST,R,"McAuliffe, Terry",2993,33.1,"Cuccinelli, Ken",5466,60.5,"Sarvis, Robert",550,6.1
VA,APPOMATTOX,R,"McAuliffe, Terry",1241,24.4,"Cuccinelli, Ken",3475,68.4,"Sarvis, Robert",348,6.8
VA,ARLINGTON,D,"McAuliffe, Terry",48346,71.6,"Cuccinelli, Ken",14978,22.2,"Sarvis, Robert",3934,5.8
VA,AUGUSTA,R,"McAuliffe, Terry",5100,25,"Cuccinelli, Ken",13817,67.7,"Sarvis, Robert",1404,6.9
VA,BATH,R,"McAuliffe, Terry",392,32.3,"Cuccinelli, Ken",686,56.6,"Sarvis, Robert",127,10.5
VA,BEDFORD,R,"McAuliffe, Terry",5802,23.2,"Cuccinelli, Ken",17330,69.3,"Sarvis, Robert",1769,7.1
VA,BLAND,R,"McAuliffe, Terry",388,21,"Cuccinelli, Ken",1300,70.3,"Sarvis, Robert",150,8.1
VA,BOTETOURT,R,"McAuliffe, Terry",2924,25.8,"Cuccinelli, Ken",7366,65.1,"Sarvis, Robert",931,8.2
VA,BRUNSWICK,D,"McAuliffe, Terry",2704,59.8,"Cuccinelli, Ken",1618,35.8,"Sarvis, Robert",188,4.2
VA,BUCHANAN,R,"McAuliffe, Terry",1461,30.1,"Cuccinelli, Ken",3275,67.5,"Sarvis, Robert",105,2.2
VA,BUCKINGHAM,R,"McAuliffe, Terry",1804,43.3,"Cuccinelli, Ken",2053,49.3,"Sarvis, Robert",292,7
VA,CAMPBELL,R,"McAuliffe, Terry",3712,23.4,"Cuccinelli, Ken",11133,70.2,"Sarvis, Robert",940,5.9
VA,CAROLINE,D,"McAuliffe, Terry",3794,48.7,"Cuccinelli, Ken",3380,43.4,"Sarvis, Robert",564,7.2
VA,CARROLL,R,"McAuliffe, Terry",2182,27.7,"Cuccinelli, Ken",5061,64.2,"Sarvis, Robert",603,7.7
VA,"CHARLES CITY",D,"McAuliffe, Terry",1558,61.3,"Cuccinelli, Ken",828,32.6,"Sarvis, Robert",145,5.7
VA,CHARLOTTE,R,"McAuliffe, Terry",1358,36.4,"Cuccinelli, Ken",2104,56.4,"Sarvis, Robert",262,7
