"Gubernatorial General Election Returns by County, National Summary (1988)"
"Generated from CQ Press U.S. Political Stats Database, October 20, 2017"
,
,
State,County,"Winning Party","Dem. Candidate (1988)","Dem. Votes","Dem. %","Rep. Candidate (1988)","Rep. Votes","Rep. %","Highest Other (1988)","Other Votes","Other %"
DE,KENT,R,"Kreshtoll, Jacob",9874,30.4,"Castle, Michael",22563,69.6,,,
DE,"NEW CASTLE",R,"Kreshtoll, Jacob",49630,30,"Castle, Michael",115866,70,,,
DE,SUSSEX,R,"Kreshtoll, Jacob",10732,25.5,"Castle, Michael",31304,74.5,,,
IN,ADAMS,D,"Bayh, Evan",6660,55.4,"Mutz, John",5353,44.6,,,
IN,ALLEN,R,"Bayh, Evan",54627,48.1,"Mutz, John",58950,51.9,,,
IN,BARTHOLOMEW,R,"Bayh, Evan",12282,46.9,"Mutz, John",13899,53.1,,,
IN,BENTON,R,"Bayh, Evan",1969,49.2,"Mutz, John",2033,50.8,,,
IN,BLACKFORD,D,"Bayh, Evan",3208,57.4,"Mutz, John",2384,42.6,,,
IN,BOONE,R,"Bayh, Evan",6086,38.9,"Mutz, John",9556,61.1,,,
IN,BROWN,D,"Bayh, Evan",2868,52.6,"Mutz, John",2587,47.4,,,
IN,CARROLL,D,"Bayh, Evan",3996,51.1,"Mutz, John",3831,48.9,,,
IN,CASS,D,"Bayh, Evan",8824,53,"Mutz, John",7826,47,,,
IN,CLARK,D,"Bayh, Evan",18767,62.4,"Mutz, John",11331,37.6,,,
IN,CLAY,D,"Bayh, Evan",6093,63.1,"Mutz, John",3560,36.9,,,
IN,CLINTON,R,"Bayh, Evan",6160,48,"Mutz, John",6680,52,,,
IN,CRAWFORD,D,"Bayh, Evan",2686,58.9,"Mutz, John",1874,41.1,,,
IN,DAVIESS,D,"Bayh, Evan",5235,51,"Mutz, John",5021,49,,,
IN,DEARBORN,D,"Bayh, Evan",6769,53,"Mutz, John",5994,47,,,
IN,DECATUR,D,"Bayh, Evan",4819,51.6,"Mutz, John",4526,48.4,,,
IN,DEKALB,R,"Bayh, Evan",4761,41.6,"Mutz, John",6672,58.4,,,
IN,DELAWARE,D,"Bayh, Evan",27072,56.1,"Mutz, John",21154,43.9,,,
IN,DUBOIS,D,"Bayh, Evan",9598,61,"Mutz, John",6129,39,,,
