"Gubernatorial General Election Returns by County, National Summary (2011)"
"Generated from CQ Press U.S. Political Stats Database, October 11, 2017"
,
,
State,County,"Winning Party","Dem. Candidate (2011)","Dem. Votes","Dem. %","Rep. Candidate (2011)","Rep. Votes","Rep. %","Highest Other (2011)","Other Votes","Other %"
KY,ADAIR,R,"Beshear, Steven",1606,43.7,"Williams, David",1877,51.1,"Galbraith, Gatewood",193,5.3
KY,ALLEN,R,"Beshear, Steven",1221,42.2,"Williams, David",1540,53.2,"Galbraith, Gatewood",133,4.6
KY,ANDERSON,D,"Beshear, Steven",3048,50.2,"Williams, David",1577,26,"Galbraith, Gatewood",1443,23.8
KY,BALLARD,D,"Beshear, Steven",1274,59,"Williams, David",773,35.8,"Galbraith, Gatewood",112,5.2
KY,BARREN,D,"Beshear, Steven",4425,56.3,"Williams, David",3003,38.2,"Galbraith, Gatewood",430,5.5
KY,BATH,D,"Beshear, Steven",1081,58.6,"Williams, David",417,22.6,"Galbraith, Gatewood",346,18.8
KY,BELL,R,"Beshear, Steven",1550,43.3,"Williams, David",1797,50.2,"Galbraith, Gatewood",236,6.6
KY,BOONE,R,"Beshear, Steven",8292,45.8,"Williams, David",9160,50.6,"Galbraith, Gatewood",655,3.6
KY,BOURBON,D,"Beshear, Steven",2223,54.8,"Williams, David",906,22.3,"Galbraith, Gatewood",928,22.9
KY,BOYD,D,"Beshear, Steven",4879,62.8,"Williams, David",2617,33.7,"Galbraith, Gatewood",271,3.5
KY,BOYLE,D,"Beshear, Steven",3476,54.9,"Williams, David",1839,29.1,"Galbraith, Gatewood",1012,16
KY,BRACKEN,D,"Beshear, Steven",758,55.2,"Williams, David",510,37.2,"Galbraith, Gatewood",104,7.6
KY,BREATHITT,D,"Beshear, Steven",1236,55.2,"Williams, David",711,31.8,"Galbraith, Gatewood",291,13
KY,BRECKINRIDGE,D,"Beshear, Steven",2376,58.6,"Williams, David",1495,36.8,"Galbraith, Gatewood",187,4.6
KY,BULLITT,D,"Beshear, Steven",7370,53.4,"Williams, David",5656,41,"Galbraith, Gatewood",781,5.7
KY,BUTLER,R,"Beshear, Steven",938,43.2,"Williams, David",1140,52.5,"Galbraith, Gatewood",94,4.3
KY,CALDWELL,D,"Beshear, Steven",2075,60.1,"Williams, David",1157,33.5,"Galbraith, Gatewood",220,6.4
KY,CALLOWAY,D,"Beshear, Steven",3914,57.9,"Williams, David",2567,38,"Galbraith, Gatewood",283,4.2
KY,CAMPBELL,D,"Beshear, Steven",8320,52.8,"Williams, David",6780,43,"Galbraith, Gatewood",659,4.2
KY,CARLISLE,D,"Beshear, Steven",758,54.2,"Williams, David",575,41.1,"Galbraith, Gatewood",65,4.6
KY,CARROLL,D,"Beshear, Steven",1176,66.6,"Williams, David",480,27.2,"Galbraith, Gatewood",111,6.3
KY,CARTER,D,"Beshear, Steven",2466,63.9,"Williams, David",1216,31.5,"Galbraith, Gatewood",178,4.6
KY,CASEY,R,"Beshear, Steven",1038,36.9,"Williams, David",1522,54.1,"Galbraith, Gatewood",254,9
KY,CHRISTIAN,D,"Beshear, Steven",3582,48.7,"Williams, David",3455,47,"Galbraith, Gatewood",319,4.3
KY,CLARK,D,"Beshear, Steven",3966,51.6,"Williams, David",2255,29.3,"Galbraith, Gatewood",1464,19.1
KY,CLAY,R,"Beshear, Steven",1010,35.4,"Williams, David",1602,56.1,"Galbraith, Gatewood",245,8.6
KY,CLINTON,R,"Beshear, Steven",514,24.2,"Williams, David",1540,72.4,"Galbraith, Gatewood",72,3.4
KY,CRITTENDEN,R,"Beshear, Steven",942,45.6,"Williams, David",1020,49.3,"Galbraith, Gatewood",105,5.1
KY,CUMBERLAND,R,"Beshear, Steven",374,18,"Williams, David",1629,78.4,"Galbraith, Gatewood",76,3.7
KY,DAVIESS,D,"Beshear, Steven",11579,59,"Williams, David",7302,37.2,"Galbraith, Gatewood",758,3.9
KY,EDMONSON,R,"Beshear, Steven",1067,46.3,"Williams, David",1166,50.6,"Galbraith, Gatewood",73,3.2
KY,ELLIOTT,D,"Beshear, Steven",1460,73.1,"Williams, David",392,19.6,"Galbraith, Gatewood",144,7.2
KY,ESTILL,R,"Beshear, Steven",1000,39.9,"Williams, David",1048,41.8,"Galbraith, Gatewood",457,18.2
KY,FAYETTE,D,"Beshear, Steven",32948,54.7,"Williams, David",14123,23.5,"Galbraith, Gatewood",13131,21.8
KY,FLEMING,D,"Beshear, Steven",1653,53.8,"Williams, David",979,31.9,"Galbraith, Gatewood",438,14.3
