"Gubernatorial General Election Returns by County, National Summary (2008)"
"Generated from CQ Press U.S. Political Stats Database, October 11, 2017"
,
,
State,County,"Winning Party","Dem. Candidate (2008)","Dem. Votes","Dem. %","Rep. Candidate (2008)","Rep. Votes","Rep. %","Highest Other (2008)","Other Votes","Other %"
DE,KENT,D,"Markell, Jack",41076,63.3,"Lee, William",23646,36.4,"Other/Unknown, ",218,0.3
DE,"NEW CASTLE",D,"Markell, Jack",180240,73.9,"Lee, William",62432,25.6,"Other/Unknown, ",1212,0.5
DE,SUSSEX,D,"Markell, Jack",45545,52.7,"Lee, William",40584,47,"Other/Unknown, ",251,0.3
IN,ADAMS,R,"Thompson, Jill",4938,36.5,"Daniels, Mitch",8291,61.3,"Other/Unknown, ",294,2.2
IN,ALLEN,R,"Thompson, Jill",55027,37.3,"Daniels, Mitch",89938,61,"Other/Unknown, ",2449,1.7
IN,BARTHOLOMEW,R,"Thompson, Jill",8447,27.7,"Daniels, Mitch",21547,70.6,"Other/Unknown, ",533,1.7
IN,BENTON,R,"Thompson, Jill",1308,34.3,"Daniels, Mitch",2398,62.9,"Other/Unknown, ",109,2.9
IN,BLACKFORD,R,"Thompson, Jill",2221,41,"Daniels, Mitch",3098,57.2,"Other/Unknown, ",97,1.8
IN,BOONE,R,"Thompson, Jill",4633,17.5,"Daniels, Mitch",21352,80.5,"Other/Unknown, ",540,2
IN,BROWN,R,"Thompson, Jill",2880,35.6,"Daniels, Mitch",4967,61.3,"Other/Unknown, ",250,3.1
IN,CARROLL,R,"Thompson, Jill",2925,33.4,"Daniels, Mitch",5586,63.8,"Other/Unknown, ",241,2.8
IN,CASS,R,"Thompson, Jill",6418,40.9,"Daniels, Mitch",8831,56.3,"Other/Unknown, ",433,2.8
IN,CLARK,R,"Thompson, Jill",17821,37.8,"Daniels, Mitch",28622,60.7,"Other/Unknown, ",682,1.4
IN,CLAY,R,"Thompson, Jill",5055,44.5,"Daniels, Mitch",5986,52.7,"Other/Unknown, ",312,2.7
IN,CLINTON,R,"Thompson, Jill",3658,29.8,"Daniels, Mitch",8322,67.7,"Other/Unknown, ",306,2.5
IN,CRAWFORD,D,"Thompson, Jill",2869,59.7,"Daniels, Mitch",1869,38.9,"Other/Unknown, ",68,1.4
IN,DAVIESS,R,"Thompson, Jill",3978,38.5,"Daniels, Mitch",6043,58.5,"Other/Unknown, ",310,3
IN,DEARBORN,R,"Thompson, Jill",6540,30.3,"Daniels, Mitch",14536,67.3,"Other/Unknown, ",519,2.4
IN,DECATUR,R,"Thompson, Jill",2534,24.6,"Daniels, Mitch",7486,72.8,"Other/Unknown, ",270,2.6
IN,DEKALB,R,"Thompson, Jill",6752,40.3,"Daniels, Mitch",9562,57.1,"Other/Unknown, ",424,2.5
IN,DELAWARE,R,"Thompson, Jill",20588,41.7,"Daniels, Mitch",27876,56.5,"Other/Unknown, ",895,1.8
IN,DUBOIS,R,"Thompson, Jill",7938,43.3,"Daniels, Mitch",9946,54.3,"Other/Unknown, ",445,2.4
IN,ELKHART,R,"Thompson, Jill",28114,39.7,"Daniels, Mitch",40983,57.9,"Other/Unknown, ",1740,2.5
IN,FAYETTE,R,"Thompson, Jill",3670,39.8,"Daniels, Mitch",5373,58.3,"Other/Unknown, ",180,2
IN,FLOYD,R,"Thompson, Jill",13020,36.1,"Daniels, Mitch",22471,62.3,"Other/Unknown, ",576,1.6
IN,FOUNTAIN,R,"Thompson, Jill",2816,37.9,"Daniels, Mitch",4350,58.5,"Other/Unknown, ",269,3.6
IN,FRANKLIN,R,"Thompson, Jill",3674,35.1,"Daniels, Mitch",6443,61.6,"Other/Unknown, ",337,3.2
