"Gubernatorial General Election Returns by County, National Summary (2005)"
"Generated from CQ Press U.S. Political Stats Database, October 11, 2017"
,
,
State,County,"Winning Party","Dem. Candidate (2005)","Dem. Votes","Dem. %","Rep. Candidate (2005)","Rep. Votes","Rep. %","Highest Other (2005)","Other Votes","Other %"
NJ,ATLANTIC,D,"Corzine, Jon",34539,53.3,"Forrester, Doug",28004,43.2,"Other/Unknown, ",2238,3.5
NJ,BERGEN,D,"Corzine, Jon",142319,55.6,"Forrester, Doug",108017,42.2,"Other/Unknown, ",5683,2.2
NJ,BURLINGTON,D,"Corzine, Jon",64421,50.5,"Forrester, Doug",57908,45.4,"Other/Unknown, ",5203,4.1
NJ,CAMDEN,D,"Corzine, Jon",76955,60.4,"Forrester, Doug",45079,35.4,"Other/Unknown, ",5458,4.3
NJ,"CAPE MAY",R,"Corzine, Jon",14375,45.2,"Forrester, Doug",16179,50.9,"Other/Unknown, ",1243,3.9
NJ,CUMBERLAND,D,"Corzine, Jon",18580,57.2,"Forrester, Doug",12692,39,"Other/Unknown, ",1231,3.8
NJ,ESSEX,D,"Corzine, Jon",131312,72.7,"Forrester, Doug",45789,25.4,"Other/Unknown, ",3456,1.9
NJ,GLOUCESTER,D,"Corzine, Jon",41128,53.2,"Forrester, Doug",33225,43,"Other/Unknown, ",3004,3.9
NJ,HUDSON,D,"Corzine, Jon",87409,75.4,"Forrester, Doug",25769,22.2,"Other/Unknown, ",2691,2.3
NJ,HUNTERDON,R,"Corzine, Jon",15004,33.6,"Forrester, Doug",27521,61.6,"Other/Unknown, ",2179,4.9
NJ,MERCER,D,"Corzine, Jon",56592,57.1,"Forrester, Doug",38871,39.2,"Other/Unknown, ",3596,3.6
NJ,MIDDLESEX,D,"Corzine, Jon",107176,56,"Forrester, Doug",75021,39.2,"Other/Unknown, ",9085,4.7
NJ,MONMOUTH,R,"Corzine, Jon",85187,43.8,"Forrester, Doug",101085,51.9,"Other/Unknown, ",8376,4.3
NJ,MORRIS,R,"Corzine, Jon",60986,41.3,"Forrester, Doug",82550,56,"Other/Unknown, ",3997,2.7
NJ,OCEAN,R,"Corzine, Jon",71953,41.6,"Forrester, Doug",93693,54.2,"Other/Unknown, ",7242,4.2
NJ,PASSAIC,D,"Corzine, Jon",61803,57.9,"Forrester, Doug",41532,38.9,"Other/Unknown, ",3413,3.2
NJ,SALEM,D,"Corzine, Jon",10057,48.6,"Forrester, Doug",9608,46.5,"Other/Unknown, ",1008,4.9
NJ,SOMERSET,R,"Corzine, Jon",40459,43.3,"Forrester, Doug",49406,52.8,"Other/Unknown, ",3661,3.9
NJ,SUSSEX,R,"Corzine, Jon",14854,35.1,"Forrester, Doug",25283,59.7,"Other/Unknown, ",2182,5.2
NJ,UNION,D,"Corzine, Jon",77982,59.2,"Forrester, Doug",50036,38,"Other/Unknown, ",3677,2.8
NJ,WARREN,R,"Corzine, Jon",11460,36.8,"Forrester, Doug",18003,57.9,"Other/Unknown, ",1654,5.3
VA,ACCOMACK,D,"Kaine, Tim",3860,49.8,"Kilgore, Jerry",3754,48.5,"Other/Unknown, ",131,1.7
VA,ALBEMARLE,D,"Kaine, Tim",18455,61.2,"Kilgore, Jerry",10994,36.4,"Other/Unknown, ",725,2.4
VA,ALLEGHANY,D,"Kaine, Tim",2907,53.9,"Kilgore, Jerry",2373,44,"Other/Unknown, ",117,2.2
VA,AMELIA,R,"Kaine, Tim",1368,37,"Kilgore, Jerry",2251,60.9,"Other/Unknown, ",77,2.1
VA,AMHERST,R,"Kaine, Tim",3576,43.6,"Kilgore, Jerry",4450,54.2,"Other/Unknown, ",179,2.2
VA,APPOMATTOX,R,"Kaine, Tim",1804,39.5,"Kilgore, Jerry",2663,58.3,"Other/Unknown, ",103,2.3
VA,ARLINGTON,D,"Kaine, Tim",42319,74.3,"Kilgore, Jerry",13631,23.9,"Other/Unknown, ",1039,1.8
VA,AUGUSTA,R,"Kaine, Tim",6395,33.1,"Kilgore, Jerry",12197,63.1,"Other/Unknown, ",733,3.8
VA,BATH,R,"Kaine, Tim",729,45.1,"Kilgore, Jerry",860,53.2,"Other/Unknown, ",28,1.7
