"Gubernatorial General Election Returns by County, National Summary (1994)"
"Generated from CQ Press U.S. Political Stats Database, October 20, 2017"
,
,
State,County,"Winning Party","Dem. Candidate (1994)","Dem. Votes","Dem. %","Rep. Candidate (1994)","Rep. Votes","Rep. %","Highest Other (1994)","Other Votes","Other %"
AK,"Election District 1",R,"Knowles, Tony",1990,35,"Campbell, James",3093,54.5,"Coghill, John",337,5.9
AK,"Election District 10",R,"Knowles, Tony",2309,36.7,"Campbell, James",3339,53.1,"Coghill, John",442,7
AK,"Election District 11",R,"Knowles, Tony",2101,39.1,"Campbell, James",2599,48.4,"Coghill, John",495,9.2
AK,"Election District 12",R,"Knowles, Tony",2113,37.9,"Campbell, James",2821,50.6,"Coghill, John",442,7.9
AK,"Election District 13",D,"Knowles, Tony",3192,47.9,"Campbell, James",2775,41.7,"Coghill, John",416,6.2
AK,"Election District 14",R,"Knowles, Tony",1347,33.7,"Campbell, James",2040,51.1,"Coghill, John",463,11.6
AK,"Election District 15",D,"Knowles, Tony",2244,48.1,"Campbell, James",1778,38.1,"Coghill, John",414,8.9
AK,"Election District 16",D,"Knowles, Tony",1640,49.6,"Campbell, James",1149,34.7,"Coghill, John",352,10.6
AK,"Election District 17",R,"Knowles, Tony",1915,37.2,"Campbell, James",2556,49.7,"Coghill, John",475,9.2
AK,"Election District 18",R,"Knowles, Tony",3000,41.3,"Campbell, James",3423,47.1,"Coghill, John",482,6.6
AK,"Election District 19",R,"Knowles, Tony",2189,39.4,"Campbell, James",2600,46.7,"Coghill, John",515,9.3
AK,"Election District 2",R,"Knowles, Tony",2702,41.6,"Campbell, James",3021,46.5,"Coghill, John",387,6
AK,"Election District 20",R,"Knowles, Tony",2408,42.2,"Campbell, James",2659,46.6,"Coghill, John",435,7.6
AK,"Election District 21",D,"Knowles, Tony",2348,47,"Campbell, James",2045,40.9,"Coghill, John",403,8.1
AK,"Election District 22",R,"Knowles, Tony",2516,41.1,"Campbell, James",2962,48.3,"Coghill, John",459,7.5
AK,"Election District 23",R,"Knowles, Tony",894,34.8,"Campbell, James",1332,51.9,"Coghill, John",239,9.3
AK,"Election District 24",R,"Knowles, Tony",1859,34.8,"Campbell, James",2756,51.5,"Coghill, John",505,9.4
AK,"Election District 25",R,"Knowles, Tony",1755,31,"Campbell, James",2948,52,"Coghill, John",714,12.6
AK,"Election District 26",R,"Knowles, Tony",1672,27.3,"Campbell, James",2811,46,"Coghill, John",1285,21
AK,"Election District 27",R,"Knowles, Tony",1891,27.7,"Campbell, James",3094,45.3,"Coghill, John",1349,19.8
AK,"Election District 28",R,"Knowles, Tony",1650,24.5,"Campbell, James",2777,41.2,"Coghill, John",1687,25.1
AK,"Election District 29",D,"Knowles, Tony",2942,45.7,"Campbell, James",1699,26.4,"Coghill, John",1303,20.2
AK,"Election District 3",D,"Knowles, Tony",5050,60.8,"Campbell, James",2482,29.9,"Coghill, John",254,3.1
AK,"Election District 30",D,"Knowles, Tony",1676,34.7,"Campbell, James",1639,33.9,"Coghill, John",1319,27.3
AK,"Election District 31",D,"Knowles, Tony",1639,34,"Campbell, James",1558,32.3,"Coghill, John",1469,30.4
AK,"Election District 32",R,"Knowles, Tony",897,27.1,"Campbell, James",1350,40.8,"Coghill, John",976,29.5
AK,"Election District 33",R,"Knowles, Tony",1738,28.2,"Campbell, James",2195,35.6,"Coghill, John",1997,32.4
AK,"Election District 34",R,"Knowles, Tony",1002,21.5,"Campbell, James",1991,42.8,"Coghill, John",1464,31.5
AK,"Election District 35",R,"Knowles, Tony",1553,30.9,"Campbell, James",2057,41,"Coghill, John",1090,21.7
AK,"Election District 36",D,"Knowles, Tony",2804,56.4,"Campbell, James",974,19.6,"Coghill, John",941,18.9
AK,"Election District 37",D,"Knowles, Tony",3314,73.9,"Campbell, James",728,16.2,"Coghill, John",302,6.7
