"Gubernatorial General Election Returns by County, National Summary (2012)"
"Generated from CQ Press U.S. Political Stats Database, October 11, 2017"
,
,
State,County,"Winning Party","Dem. Candidate (2012)","Dem. Votes","Dem. %","Rep. Candidate (2012)","Rep. Votes","Rep. %","Highest Other (2012)","Other Votes","Other %"
DE,KENT,D,"Markell, Jack",40696,61.5,"Cragg, Jeffrey",23846,36,"Perri, Mark",781,1.2
DE,"NEW CASTLE",D,"Markell, Jack",183858,75.9,"Cragg, Jeffrey",53510,22.1,"Perri, Mark",2642,1.1
DE,SUSSEX,D,"Markell, Jack",51439,57.3,"Cragg, Jeffrey",36437,40.6,"Perri, Mark",1152,1.3
IN,ADAMS,R,"Gregg, John",4521,34.9,"Pence, Mike",8109,62.6,"Boneham, Rupert",329,2.5
IN,ALLEN,R,"Gregg, John",61491,42.7,"Pence, Mike",78869,54.7,"Boneham, Rupert",3808,2.6
IN,BARTHOLOMEW,R,"Gregg, John",10608,36.4,"Pence, Mike",17417,59.7,"Boneham, Rupert",1130,3.9
IN,BENTON,R,"Gregg, John",1374,38.7,"Pence, Mike",1944,54.8,"Boneham, Rupert",229,6.5
IN,BLACKFORD,R,"Gregg, John",2012,43.2,"Pence, Mike",2433,52.2,"Boneham, Rupert",212,4.6
IN,BOONE,R,"Gregg, John",8711,31.6,"Pence, Mike",17416,63.2,"Boneham, Rupert",1442,5.2
IN,BROWN,R,"Gregg, John",3409,44.6,"Pence, Mike",3774,49.4,"Boneham, Rupert",456,6
IN,CARROLL,R,"Gregg, John",3136,40.3,"Pence, Mike",4169,53.6,"Boneham, Rupert",471,6.1
IN,CASS,R,"Gregg, John",6253,44.1,"Pence, Mike",7114,50.2,"Boneham, Rupert",805,5.7
IN,CLARK,R,"Gregg, John",20134,43.7,"Pence, Mike",24343,52.9,"Boneham, Rupert",1549,3.4
IN,CLAY,R,"Gregg, John",4765,43.8,"Pence, Mike",5547,51,"Boneham, Rupert",566,5.2
IN,CLINTON,R,"Gregg, John",3876,39.3,"Pence, Mike",5412,54.9,"Boneham, Rupert",565,5.7
IN,CRAWFORD,D,"Gregg, John",2267,50.4,"Pence, Mike",2099,46.7,"Boneham, Rupert",133,3
IN,DAVIESS,R,"Gregg, John",4396,43.7,"Pence, Mike",5386,53.5,"Boneham, Rupert",281,2.8
IN,DEARBORN,R,"Gregg, John",6211,28.8,"Pence, Mike",14354,66.6,"Boneham, Rupert",975,4.5
IN,DECATUR,R,"Gregg, John",3182,31,"Pence, Mike",6479,63,"Boneham, Rupert",616,6
IN,DEKALB,R,"Gregg, John",5848,36.5,"Pence, Mike",9583,59.9,"Boneham, Rupert",571,3.6
IN,DELAWARE,D,"Gregg, John",21920,49.9,"Pence, Mike",19996,45.6,"Boneham, Rupert",1968,4.5
IN,DUBOIS,R,"Gregg, John",6958,38,"Pence, Mike",10931,59.6,"Boneham, Rupert",438,2.4
IN,ELKHART,R,"Gregg, John",26358,39.1,"Pence, Mike",38997,57.9,"Boneham, Rupert",1979,2.9
IN,FAYETTE,R,"Gregg, John",3664,42.2,"Pence, Mike",4574,52.6,"Boneham, Rupert",452,5.2
IN,FLOYD,R,"Gregg, John",14746,42.5,"Pence, Mike",18990,54.7,"Boneham, Rupert",954,2.8
IN,FOUNTAIN,R,"Gregg, John",2890,40.9,"Pence, Mike",3762,53.2,"Boneham, Rupert",414,5.9
IN,FRANKLIN,R,"Gregg, John",2859,27.8,"Pence, Mike",6970,67.9,"Boneham, Rupert",439,4.3
IN,FULTON,R,"Gregg, John",3194,39.5,"Pence, Mike",4534,56,"Boneham, Rupert",362,4.5
IN,GIBSON,R,"Gregg, John",6508,44.5,"Pence, Mike",7731,52.9,"Boneham, Rupert",387,2.6
IN,GRANT,R,"Gregg, John",10313,41.1,"Pence, Mike",13827,55.1,"Boneham, Rupert",932,3.7
IN,GREENE,D,"Gregg, John",7307,55.6,"Pence, Mike",5486,41.7,"Boneham, Rupert",350,2.7
IN,HAMILTON,R,"Gregg, John",41762,30.9,"Pence, Mike",88070,65.2,"Boneham, Rupert",5265,3.9
IN,HANCOCK,R,"Gregg, John",10483,32.1,"Pence, Mike",20331,62.2,"Boneham, Rupert",1881,5.8
IN,HARRISON,R,"Gregg, John",6964,39.8,"Pence, Mike",9997,57.1,"Boneham, Rupert",554,3.2
IN,HENDRICKS,R,"Gregg, John",22125,33.7,"Pence, Mike",40245,61.3,"Boneham, Rupert",3257,5
IN,HENRY,R,"Gregg, John",8277,43.5,"Pence, Mike",9439,49.6,"Boneham, Rupert",1301,6.8
IN,HOWARD,R,"Gregg, John",16550,45.8,"Pence, Mike",17811,49.2,"Boneham, Rupert",1806,5
IN,HUNTINGTON,R,"Gregg, John",5212,33.9,"Pence, Mike",9623,62.7,"Boneham, Rupert",517,3.4
IN,JACKSON,R,"Gregg, John",6377,38.3,"Pence, Mike",9613,57.8,"Boneham, Rupert",648,3.9
IN,JASPER,R,"Gregg, John",5055,40.6,"Pence, Mike",6987,56.1,"Boneham, Rupert",412,3.3
IN,JAY,R,"Gregg, John",3183,40.5,"Pence, Mike",4326,55.1,"Boneham, Rupert",348,4.4
IN,JEFFERSON,R,"Gregg, John",5610,44.1,"Pence, Mike",6715,52.8,"Boneham, Rupert",403,3.2
IN,JENNINGS,R,"Gregg, John",4028,39.7,"Pence, Mike",5653,55.8,"Boneham, Rupert",458,4.5
IN,JOHNSON,R,"Gregg, John",18271,31.7,"Pence, Mike",36168,62.7,"Boneham, Rupert",3255,5.6
IN,KNOX,D,"Gregg, John",9911,65.2,"Pence, Mike",5031,33.1,"Boneham, Rupert",253,1.7
IN,KOSCIUSKO,R,"Gregg, John",8303,27.9,"Pence, Mike",20530,69,"Boneham, Rupert",919,3.1
IN,"LA PORTE",D,"Gregg, John",24190,57.6,"Pence, Mike",16164,38.5,"Boneham, Rupert",1653,3.9
IN,LAGRANGE,R,"Gregg, John",3257,35.2,"Pence, Mike",5654,61,"Boneham, Rupert",355,3.8
IN,LAKE,D,"Gregg, John",122324,67.3,"Pence, Mike",55776,30.7,"Boneham, Rupert",3585,2
IN,LAWRENCE,R,"Gregg, John",6830,38.7,"Pence, Mike",10094,57.1,"Boneham, Rupert",740,4.2
IN,MADISON,D,"Gregg, John",25393,48.6,"Pence, Mike",24052,46.1,"Boneham, Rupert",2766,5.3
IN,MARION,D,"Gregg, John",210119,58.8,"Pence, Mike",129501,36.3,"Boneham, Rupert",17573,4.9
