"Gubernatorial General Election Returns by County, National Summary (2000)"
"Generated from CQ Press U.S. Political Stats Database, October 11, 2017"
,
,
State,County,"Winning Party","Dem. Candidate (2000)","Dem. Votes","Dem. %","Rep. Candidate (2000)","Rep. Votes","Rep. %","Highest Other (2000)","Other Votes","Other %"
DE,KENT,D,"Minner, Ruth",27164,57.1,"Burris, John",20073,42.2,"Other/Unknown, ",376,0.8
DE,"NEW CASTLE",D,"Minner, Ruth",127112,60.3,"Burris, John",81311,38.5,"Other/Unknown, ",2523,1.2
DE,SUSSEX,D,"Minner, Ruth",37419,57.5,"Burris, John",27219,41.8,"Other/Unknown, ",491,0.8
IN,ADAMS,D,"O'Bannon, Frank",6471,51.6,"McIntosh, David",5864,46.7,"Other/Unknown, ",216,1.7
IN,ALLEN,D,"O'Bannon, Frank",58139,51,"McIntosh, David",53401,46.9,"Other/Unknown, ",2375,2.1
IN,BARTHOLOMEW,D,"O'Bannon, Frank",13526,52.3,"McIntosh, David",11857,45.8,"Other/Unknown, ",480,1.9
IN,BENTON,D,"O'Bannon, Frank",2019,52,"McIntosh, David",1797,46.2,"Other/Unknown, ",70,1.8
IN,BLACKFORD,D,"O'Bannon, Frank",2885,59.3,"McIntosh, David",1891,38.9,"Other/Unknown, ",90,1.8
IN,BOONE,R,"O'Bannon, Frank",7927,43.4,"McIntosh, David",9776,53.6,"Other/Unknown, ",541,3
IN,BROWN,D,"O'Bannon, Frank",3818,56,"McIntosh, David",2780,40.8,"Other/Unknown, ",220,3.2
IN,CARROLL,D,"O'Bannon, Frank",4356,52.7,"McIntosh, David",3771,45.7,"Other/Unknown, ",132,1.6
IN,CASS,D,"O'Bannon, Frank",7711,51.5,"McIntosh, David",6998,46.7,"Other/Unknown, ",266,1.8
IN,CLARK,D,"O'Bannon, Frank",24455,66,"McIntosh, David",12258,33.1,"Other/Unknown, ",363,1
IN,CLAY,D,"O'Bannon, Frank",6173,61.1,"McIntosh, David",3807,37.7,"Other/Unknown, ",130,1.3
IN,CLINTON,R,"O'Bannon, Frank",5289,48.4,"McIntosh, David",5411,49.6,"Other/Unknown, ",217,2
IN,CRAWFORD,D,"O'Bannon, Frank",2714,64.9,"McIntosh, David",1426,34.1,"Other/Unknown, ",42,1
IN,DAVIESS,R,"O'Bannon, Frank",4319,44.7,"McIntosh, David",5242,54.3,"Other/Unknown, ",94,1
IN,DEARBORN,D,"O'Bannon, Frank",8737,50.5,"McIntosh, David",8250,47.7,"Other/Unknown, ",323,1.9
IN,DECATUR,D,"O'Bannon, Frank",4638,50.7,"McIntosh, David",4333,47.4,"Other/Unknown, ",178,1.9
IN,DEKALB,D,"O'Bannon, Frank",6819,50,"McIntosh, David",6599,48.4,"Other/Unknown, ",228,1.7
IN,DELAWARE,D,"O'Bannon, Frank",26896,61.3,"McIntosh, David",16200,36.9,"Other/Unknown, ",795,1.8
IN,DUBOIS,D,"O'Bannon, Frank",8093,54,"McIntosh, David",6790,45.3,"Other/Unknown, ",111,0.7
IN,ELKHART,R,"O'Bannon, Frank",24803,45.8,"McIntosh, David",28829,53.2,"Other/Unknown, ",549,1
IN,FAYETTE,D,"O'Bannon, Frank",4639,54.3,"McIntosh, David",3783,44.3,"Other/Unknown, ",126,1.5
IN,FLOYD,D,"O'Bannon, Frank",19660,65.4,"McIntosh, David",10140,33.8,"Other/Unknown, ",239,0.8
IN,FOUNTAIN,D,"O'Bannon, Frank",3845,53,"McIntosh, David",3295,45.4,"Other/Unknown, ",118,1.6
IN,FRANKLIN,D,"O'Bannon, Frank",4177,51.1,"McIntosh, David",3876,47.4,"Other/Unknown, ",118,1.4
IN,FULTON,D,"O'Bannon, Frank",4533,54.1,"McIntosh, David",3745,44.7,"Other/Unknown, ",98,1.2
IN,GIBSON,D,"O'Bannon, Frank",8176,59.5,"McIntosh, David",5429,39.5,"Other/Unknown, ",141,1
IN,GRANT,D,"O'Bannon, Frank",13674,52.3,"McIntosh, David",12132,46.4,"Other/Unknown, ",355,1.4
IN,GREENE,D,"O'Bannon, Frank",7304,59.2,"McIntosh, David",4885,39.6,"Other/Unknown, ",147,1.2
IN,HAMILTON,R,"O'Bannon, Frank",30093,39.9,"McIntosh, David",43415,57.6,"Other/Unknown, ",1896,2.5
IN,HANCOCK,D,"O'Bannon, Frank",11096,48.6,"McIntosh, David",11066,48.5,"Other/Unknown, ",677,3
IN,HARRISON,D,"O'Bannon, Frank",10168,67.9,"McIntosh, David",4655,31.1,"Other/Unknown, ",146,1
IN,HENDRICKS,R,"O'Bannon, Frank",17303,43.1,"McIntosh, David",21828,54.4,"Other/Unknown, ",986,2.5
IN,HENRY,D,"O'Bannon, Frank",10165,55.5,"McIntosh, David",7830,42.8,"Other/Unknown, ",308,1.7
IN,HOWARD,D,"O'Bannon, Frank",18672,54.7,"McIntosh, David",14862,43.6,"Other/Unknown, ",591,1.7
IN,HUNTINGTON,R,"O'Bannon, Frank",6610,45.9,"McIntosh, David",7544,52.4,"Other/Unknown, ",236,1.6
IN,JACKSON,D,"O'Bannon, Frank",8221,56.1,"McIntosh, David",6250,42.7,"Other/Unknown, ",176,1.2
IN,JASPER,D,"O'Bannon, Frank",5520,50.2,"McIntosh, David",5364,48.7,"Other/Unknown, ",121,1.1
IN,JAY,D,"O'Bannon, Frank",4391,54.9,"McIntosh, David",3473,43.4,"Other/Unknown, ",140,1.7
IN,JEFFERSON,D,"O'Bannon, Frank",7293,62.2,"McIntosh, David",4301,36.7,"Other/Unknown, ",133,1.1
IN,JENNINGS,D,"O'Bannon, Frank",5249,55.4,"McIntosh, David",4086,43.1,"Other/Unknown, ",137,1.4
IN,JOHNSON,R,"O'Bannon, Frank",19636,46.7,"McIntosh, David",21385,50.9,"Other/Unknown, ",1023,2.4
IN,KNOX,D,"O'Bannon, Frank",9619,64.8,"McIntosh, David",5063,34.1,"Other/Unknown, ",156,1.1
IN,KOSCIUSKO,R,"O'Bannon, Frank",10035,39.9,"McIntosh, David",14748,58.6,"Other/Unknown, ",390,1.5
IN,"LA PORTE",D,"O'Bannon, Frank",25816,65.5,"McIntosh, David",13026,33.1,"Other/Unknown, ",563,1.4
IN,LAGRANGE,D,"O'Bannon, Frank",4195,50.5,"McIntosh, David",4012,48.3,"Other/Unknown, ",103,1.2
IN,LAKE,D,"O'Bannon, Frank",122784,71.3,"McIntosh, David",47859,27.8,"Other/Unknown, ",1651,1
IN,LAWRENCE,R,"O'Bannon, Frank",7436,46.5,"McIntosh, David",8336,52.1,"Other/Unknown, ",219,1.4
IN,MADISON,D,"O'Bannon, Frank",30210,57.8,"McIntosh, David",21189,40.6,"Other/Unknown, ",852,1.6
IN,MARION,D,"O'Bannon, Frank",163077,58.9,"McIntosh, David",105281,38,"Other/Unknown, ",8540,3.1
IN,MARSHALL,D,"O'Bannon, Frank",8555,53.2,"McIntosh, David",7412,46.1,"Other/Unknown, ",122,0.8
IN,MARTIN,D,"O'Bannon, Frank",2465,53.9,"McIntosh, David",2040,44.6,"Other/Unknown, ",68,1.5
IN,MIAMI,R,"O'Bannon, Frank",6209,49.1,"McIntosh, David",6255,49.4,"Other/Unknown, ",192,1.5
IN,MONROE,D,"O'Bannon, Frank",24033,60.7,"McIntosh, David",14299,36.1,"Other/Unknown, ",1240,3.1
IN,MONTGOMERY,D,"O'Bannon, Frank",6570,50.1,"McIntosh, David",6263,47.8,"Other/Unknown, ",280,2.1
IN,MORGAN,R,"O'Bannon, Frank",10018,45.7,"McIntosh, David",11335,51.7,"Other/Unknown, ",559,2.6
IN,NEWTON,D,"O'Bannon, Frank",3035,55.8,"McIntosh, David",2311,42.5,"Other/Unknown, ",96,1.8
