"Gubernatorial General Election Returns by County, National Summary (1999)"
"Generated from CQ Press U.S. Political Stats Database, October 20, 2017"
,
,
State,County,"Winning Party","Dem. Candidate (1999)","Dem. Votes","Dem. %","Rep. Candidate (1999)","Rep. Votes","Rep. %","Highest Other (1999)","Other Votes","Other %"
KY,ADAIR,D,"Patton, Paul",1441,62.6,"Martin, Peppy",663,28.8,"Galbraith, Gatewood",194,8.4
KY,ALLEN,D,"Patton, Paul",741,62.7,"Martin, Peppy",339,28.7,"Galbraith, Gatewood",97,8.2
KY,ANDERSON,D,"Patton, Paul",1961,59,"Martin, Peppy",496,14.9,"Galbraith, Gatewood",826,24.9
KY,BALLARD,D,"Patton, Paul",1230,83.1,"Martin, Peppy",99,6.7,"Galbraith, Gatewood",138,9.3
KY,BARREN,D,"Patton, Paul",2616,75.7,"Martin, Peppy",598,17.3,"Galbraith, Gatewood",204,5.9
KY,BATH,D,"Patton, Paul",682,54.8,"Martin, Peppy",197,15.8,"Galbraith, Gatewood",356,28.6
KY,BELL,D,"Patton, Paul",2208,45.3,"Martin, Peppy",2059,42.3,"Galbraith, Gatewood",540,11.1
KY,BOONE,D,"Patton, Paul",5149,60.2,"Martin, Peppy",2495,29.2,"Galbraith, Gatewood",813,9.5
KY,BOURBON,D,"Patton, Paul",1311,50.8,"Martin, Peppy",370,14.3,"Galbraith, Gatewood",866,33.6
KY,BOYD,D,"Patton, Paul",4665,67.2,"Martin, Peppy",1287,18.5,"Galbraith, Gatewood",798,11.5
KY,BOYLE,D,"Patton, Paul",3334,66.3,"Martin, Peppy",693,13.8,"Galbraith, Gatewood",937,18.6
KY,BRACKEN,D,"Patton, Paul",539,60.9,"Martin, Peppy",221,25,"Galbraith, Gatewood",118,13.3
KY,BREATHITT,D,"Patton, Paul",836,52.7,"Martin, Peppy",388,24.5,"Galbraith, Gatewood",359,22.6
KY,BRECKINRIDGE,D,"Patton, Paul",1748,64.3,"Martin, Peppy",679,25,"Galbraith, Gatewood",267,9.8
KY,BULLITT,D,"Patton, Paul",4554,61.7,"Martin, Peppy",1573,21.3,"Galbraith, Gatewood",1141,15.5
KY,BUTLER,D,"Patton, Paul",566,56.5,"Martin, Peppy",346,34.6,"Galbraith, Gatewood",81,8.1
KY,CALDWELL,D,"Patton, Paul",1419,75.4,"Martin, Peppy",279,14.8,"Galbraith, Gatewood",167,8.9
KY,CALLOWAY,D,"Patton, Paul",3074,79,"Martin, Peppy",366,9.4,"Galbraith, Gatewood",414,10.6
KY,CAMPBELL,D,"Patton, Paul",7114,65.2,"Martin, Peppy",2783,25.5,"Galbraith, Gatewood",916,8.4
KY,CARLISLE,D,"Patton, Paul",768,83.2,"Martin, Peppy",75,8.1,"Galbraith, Gatewood",79,8.6
KY,CARROLL,D,"Patton, Paul",1134,74,"Martin, Peppy",249,16.2,"Galbraith, Gatewood",136,8.9
KY,CARTER,D,"Patton, Paul",2301,68.1,"Martin, Peppy",634,18.8,"Galbraith, Gatewood",388,11.5
KY,CASEY,D,"Patton, Paul",1179,45.8,"Martin, Peppy",935,36.3,"Galbraith, Gatewood",439,17
KY,CHRISTIAN,D,"Patton, Paul",5517,78.1,"Martin, Peppy",1064,15.1,"Galbraith, Gatewood",410,5.8
KY,CLARK,D,"Patton, Paul",2836,57.4,"Martin, Peppy",777,15.7,"Galbraith, Gatewood",1246,25.2
KY,CLAY,R,"Patton, Paul",738,37.6,"Martin, Peppy",858,43.7,"Galbraith, Gatewood",351,17.9
KY,CLINTON,D,"Patton, Paul",344,49.8,"Martin, Peppy",244,35.3,"Galbraith, Gatewood",96,13.9
KY,CRITTENDEN,D,"Patton, Paul",651,67.5,"Martin, Peppy",188,19.5,"Galbraith, Gatewood",98,10.2
KY,CUMBERLAND,D,"Patton, Paul",620,62.8,"Martin, Peppy",279,28.3,"Galbraith, Gatewood",80,8.1
KY,DAVIESS,D,"Patton, Paul",13646,73.6,"Martin, Peppy",3645,19.7,"Galbraith, Gatewood",1123,6.1
KY,EDMONSON,D,"Patton, Paul",617,62.1,"Martin, Peppy",318,32,"Galbraith, Gatewood",53,5.3
KY,ELLIOTT,D,"Patton, Paul",1013,85.1,"Martin, Peppy",87,7.3,"Galbraith, Gatewood",77,6.5
KY,ESTILL,D,"Patton, Paul",686,48.5,"Martin, Peppy",371,26.2,"Galbraith, Gatewood",340,24
KY,FAYETTE,D,"Patton, Paul",21166,49.7,"Martin, Peppy",6669,15.6,"Galbraith, Gatewood",13729,32.2
KY,FLEMING,D,"Patton, Paul",1021,54.6,"Martin, Peppy",458,24.5,"Galbraith, Gatewood",371,19.8
KY,FLOYD,D,"Patton, Paul",4193,40.3,"Martin, Peppy",2857,27.5,"Galbraith, Gatewood",3198,30.7
KY,FRANKLIN,D,"Patton, Paul",8873,68.4,"Martin, Peppy",1090,8.4,"Galbraith, Gatewood",2869,22.1
KY,FULTON,D,"Patton, Paul",732,84.2,"Martin, Peppy",75,8.6,"Galbraith, Gatewood",51,5.9
KY,GALLATIN,D,"Patton, Paul",603,67.4,"Martin, Peppy",164,18.3,"Galbraith, Gatewood",117,13.1
KY,GARRARD,D,"Patton, Paul",783,47.1,"Martin, Peppy",439,26.4,"Galbraith, Gatewood",427,25.7
KY,GRANT,D,"Patton, Paul",2005,65.2,"Martin, Peppy",702,22.8,"Galbraith, Gatewood",337,11
KY,GRAVES,D,"Patton, Paul",3480,81.2,"Martin, Peppy",327,7.6,"Galbraith, Gatewood",454,10.6
KY,GRAYSON,D,"Patton, Paul",1747,59.9,"Martin, Peppy",907,31.1,"Galbraith, Gatewood",228,7.8
KY,GREEN,D,"Patton, Paul",1054,58.2,"Martin, Peppy",581,32.1,"Galbraith, Gatewood",163,9
KY,GREENUP,D,"Patton, Paul",3372,60.9,"Martin, Peppy",988,17.8,"Galbraith, Gatewood",502,9.1
KY,HANCOCK,D,"Patton, Paul",903,75.1,"Martin, Peppy",216,18,"Galbraith, Gatewood",73,6.1
KY,HARDIN,D,"Patton, Paul",8808,68.4,"Martin, Peppy",2593,20.1,"Galbraith, Gatewood",1277,9.9
KY,HARLAN,R,"Patton, Paul",1448,32.2,"Martin, Peppy",2194,48.8,"Galbraith, Gatewood",800,17.8
KY,HARRISON,D,"Patton, Paul",1471,58.6,"Martin, Peppy",418,16.7,"Galbraith, Gatewood",599,23.9
KY,HART,D,"Patton, Paul",1114,63.4,"Martin, Peppy",493,28.1,"Galbraith, Gatewood",140,8
KY,HENDERSON,D,"Patton, Paul",3521,79.4,"Martin, Peppy",465,10.5,"Galbraith, Gatewood",394,8.9
KY,HENRY,D,"Patton, Paul",1372,64.1,"Martin, Peppy",364,17,"Galbraith, Gatewood",375,17.5
KY,HICKMAN,D,"Patton, Paul",637,81.1,"Martin, Peppy",70,8.9,"Galbraith, Gatewood",72,9.2
KY,HOPKINS,D,"Patton, Paul",5107,70.4,"Martin, Peppy",1422,19.6,"Galbraith, Gatewood",644,8.9
KY,JACKSON,R,"Patton, Paul",362,41.4,"Martin, Peppy",363,41.5,"Galbraith, Gatewood",141,16.1
KY,JEFFERSON,D,"Patton, Paul",80442,63.5,"Martin, Peppy",27844,22,"Galbraith, Gatewood",14850,11.7
KY,JESSAMINE,D,"Patton, Paul",1949,43.6,"Martin, Peppy",987,22.1,"Galbraith, Gatewood",1436,32.1
KY,JOHNSON,D,"Patton, Paul",1564,49,"Martin, Peppy",1062,33.3,"Galbraith, Gatewood",531,16.7
KY,KENTON,D,"Patton, Paul",8609,62.9,"Martin, Peppy",3518,25.7,"Galbraith, Gatewood",1352,9.9
KY,KNOTT,D,"Patton, Paul",2006,43.1,"Martin, Peppy",1616,34.7,"Galbraith, Gatewood",982,21.1
KY,KNOX,D,"Patton, Paul",1079,45,"Martin, Peppy",1002,41.8,"Galbraith, Gatewood",285,11.9
KY,LARUE,D,"Patton, Paul",1058,66.9,"Martin, Peppy",362,22.9,"Galbraith, Gatewood",145,9.2
KY,LAUREL,D,"Patton, Paul",1716,43.4,"Martin, Peppy",1622,41.1,"Galbraith, Gatewood",545,13.8
KY,LAWRENCE,D,"Patton, Paul",1341,69.1,"Martin, Peppy",448,23.1,"Galbraith, Gatewood",128,6.6
KY,LEE,D,"Patton, Paul",447,42,"Martin, Peppy",320,30,"Galbraith, Gatewood",289,27.1
KY,LESLIE,R,"Patton, Paul",282,14.5,"Martin, Peppy",1356,69.9,"Galbraith, Gatewood",284,14.6
KY,LETCHER,R,"Patton, Paul",1900,34.3,"Martin, Peppy",2237,40.4,"Galbraith, Gatewood",1324,23.9
KY,LEWIS,D,"Patton, Paul",591,54.1,"Martin, Peppy",401,36.7,"Galbraith, Gatewood",92,8.4
KY,LINCOLN,D,"Patton, Paul",1197,58.2,"Martin, Peppy",427,20.7,"Galbraith, Gatewood",409,19.9
KY,LIVINGSTON,D,"Patton, Paul",936,76.1,"Martin, Peppy",139,11.3,"Galbraith, Gatewood",146,11.9
KY,LOGAN,D,"Patton, Paul",1703,80.5,"Martin, Peppy",299,14.1,"Galbraith, Gatewood",97,4.6
KY,LYON,D,"Patton, Paul",1013,75.8,"Martin, Peppy",182,13.6,"Galbraith, Gatewood",131,9.8
KY,MADISON,D,"Patton, Paul",5306,56.1,"Martin, Peppy",2042,21.6,"Galbraith, Gatewood",1964,20.8
KY,MAGOFFIN,D,"Patton, Paul",1824,56.9,"Martin, Peppy",959,29.9,"Galbraith, Gatewood",385,12
KY,MARION,D,"Patton, Paul",2288,73,"Martin, Peppy",348,11.1,"Galbraith, Gatewood",467,14.9
KY,MARSHALL,D,"Patton, Paul",3507,77.2,"Martin, Peppy",450,9.9,"Galbraith, Gatewood",535,11.8
KY,MARTIN,R,"Patton, Paul",402,27.4,"Martin, Peppy",874,59.7,"Galbraith, Gatewood",173,11.8
KY,MASON,D,"Patton, Paul",1073,62.5,"Martin, Peppy",358,20.8,"Galbraith, Gatewood",271,15.8
KY,MCCRACKEN,D,"Patton, Paul",5705,76.3,"Martin, Peppy",712,9.5,"Galbraith, Gatewood",1010,13.5
KY,MCCREARY,D,"Patton, Paul",454,46.3,"Martin, Peppy",420,42.8,"Galbraith, Gatewood",80,8.2
KY,MCLEAN,D,"Patton, Paul",933,68.9,"Martin, Peppy",293,21.6,"Galbraith, Gatewood",110,8.1
KY,MEADE,D,"Patton, Paul",2513,69.1,"Martin, Peppy",659,18.1,"Galbraith, Gatewood",424,11.7
KY,MENIFEE,D,"Patton, Paul",720,57.8,"Martin, Peppy",245,19.7,"Galbraith, Gatewood",265,21.3
KY,MERCER,D,"Patton, Paul",2361,56.8,"Martin, Peppy",788,19,"Galbraith, Gatewood",935,22.5
KY,METCALFE,D,"Patton, Paul",773,72.7,"Martin, Peppy",220,20.7,"Galbraith, Gatewood",67,6.3
KY,MONROE,D,"Patton, Paul",1094,58.2,"Martin, Peppy",659,35.1,"Galbraith, Gatewood",99,5.3
KY,MONTGOMERY,D,"Patton, Paul",1626,59.6,"Martin, Peppy",411,15.1,"Galbraith, Gatewood",660,24.2
KY,MORGAN,D,"Patton, Paul",1196,60,"Martin, Peppy",458,23,"Galbraith, Gatewood",308,15.5
KY,MUHLENBERG,D,"Patton, Paul",2134,71.8,"Martin, Peppy",562,18.9,"Galbraith, Gatewood",247,8.3
KY,NELSON,D,"Patton, Paul",3763,67.4,"Martin, Peppy",902,16.1,"Galbraith, Gatewood",832,14.9
KY,NICHOLAS,D,"Patton, Paul",625,56.5,"Martin, Peppy",87,7.9,"Galbraith, Gatewood",392,35.4
KY,OHIO,D,"Patton, Paul",2926,59.1,"Martin, Peppy",1687,34.1,"Galbraith, Gatewood",308,6.2
KY,OLDHAM,D,"Patton, Paul",3209,53.5,"Martin, Peppy",1530,25.5,"Galbraith, Gatewood",1098,18.3
KY,OWEN,D,"Patton, Paul",1916,63.5,"Martin, Peppy",434,14.4,"Galbraith, Gatewood",615,20.4
KY,OWSLEY,D,"Patton, Paul",304,52.9,"Martin, Peppy",161,28,"Galbraith, Gatewood",107,18.6
KY,PENDLETON,D,"Patton, Paul",907,67.8,"Martin, Peppy",273,20.4,"Galbraith, Gatewood",143,10.7
KY,PERRY,R,"Patton, Paul",1668,36.3,"Martin, Peppy",1965,42.7,"Galbraith, Gatewood",920,20
KY,PIKE,D,"Patton, Paul",6183,45.9,"Martin, Peppy",4129,30.7,"Galbraith, Gatewood",3027,22.5
KY,POWELL,D,"Patton, Paul",865,58.1,"Martin, Peppy",280,18.8,"Galbraith, Gatewood",334,22.4
KY,PULASKI,D,"Patton, Paul",2611,43,"Martin, Peppy",2502,41.2,"Galbraith, Gatewood",873,14.4
KY,ROBERTSON,D,"Patton, Paul",193,50.4,"Martin, Peppy",89,23.2,"Galbraith, Gatewood",101,26.4
KY,ROCKCASTLE,D,"Patton, Paul",565,39.3,"Martin, Peppy",546,38,"Galbraith, Gatewood",312,21.7
KY,ROWAN,D,"Patton, Paul",1575,63.9,"Martin, Peppy",361,14.7,"Galbraith, Gatewood",492,20
KY,RUSSELL,D,"Patton, Paul",808,51.5,"Martin, Peppy",562,35.8,"Galbraith, Gatewood",189,12.1
KY,SCOTT,D,"Patton, Paul",2618,55,"Martin, Peppy",764,16.1,"Galbraith, Gatewood",1303,27.4
KY,SHELBY,D,"Patton, Paul",2728,64.9,"Martin, Peppy",673,16,"Galbraith, Gatewood",713,17
KY,SIMPSON,D,"Patton, Paul",858,75.9,"Martin, Peppy",176,15.6,"Galbraith, Gatewood",79,7
KY,SPENCER,D,"Patton, Paul",1013,66.1,"Martin, Peppy",258,16.8,"Galbraith, Gatewood",236,15.4
KY,TAYLOR,D,"Patton, Paul",2723,67.7,"Martin, Peppy",932,23.2,"Galbraith, Gatewood",322,8
KY,TODD,D,"Patton, Paul",757,75.7,"Martin, Peppy",161,16.1,"Galbraith, Gatewood",69,6.9
KY,TRIGG,D,"Patton, Paul",1159,74.4,"Martin, Peppy",265,17,"Galbraith, Gatewood",107,6.9
KY,TRIMBLE,D,"Patton, Paul",700,68.9,"Martin, Peppy",145,14.3,"Galbraith, Gatewood",165,16.2
KY,UNION,D,"Patton, Paul",1179,77.1,"Martin, Peppy",209,13.7,"Galbraith, Gatewood",119,7.8
KY,WARREN,D,"Patton, Paul",9101,71.3,"Martin, Peppy",2347,18.4,"Galbraith, Gatewood",1165,9.1
