"Gubernatorial General Election Returns by County, National Summary (1989)"
"Generated from CQ Press U.S. Political Stats Database, October 20, 2017"
,
,
State,County,"Winning Party","Dem. Candidate (1989)","Dem. Votes","Dem. %","Rep. Candidate (1989)","Rep. Votes","Rep. %","Highest Other (1989)","Other Votes","Other %"
NJ,ATLANTIC,D,"Florio, James",39917,64.8,"Courter, James",21087,34.2,"Other/Unknown, ",598,1
NJ,BERGEN,D,"Florio, James",165104,59.2,"Courter, James",109184,39.2,"Other/Unknown, ",4524,1.6
NJ,BURLINGTON,D,"Florio, James",67600,62.8,"Courter, James",38774,36,"Other/Unknown, ",1345,1.2
NJ,CAMDEN,D,"Florio, James",106836,71.6,"Courter, James",41007,27.5,"Other/Unknown, ",1448,1
NJ,"CAPE MAY",D,"Florio, James",19642,55.3,"Courter, James",15408,43.4,"Other/Unknown, ",445,1.3
NJ,CUMBERLAND,D,"Florio, James",23906,63.5,"Courter, James",13304,35.3,"Other/Unknown, ",439,1.2
NJ,ESSEX,D,"Florio, James",131835,68.9,"Courter, James",57206,29.9,"Other/Unknown, ",2206,1.2
NJ,GLOUCESTER,D,"Florio, James",47760,68.8,"Courter, James",20871,30.1,"Other/Unknown, ",777,1.1
NJ,HUDSON,D,"Florio, James",95122,73.7,"Courter, James",32215,25,"Other/Unknown, ",1754,1.4
NJ,HUNTERDON,R,"Florio, James",14164,42.9,"Courter, James",18046,54.6,"Other/Unknown, ",838,2.5
NJ,MERCER,D,"Florio, James",67962,68.5,"Courter, James",29887,30.1,"Other/Unknown, ",1359,1.4
NJ,MIDDLESEX,D,"Florio, James",120157,62.9,"Courter, James",67054,35.1,"Other/Unknown, ",3749,2
NJ,MONMOUTH,D,"Florio, James",101995,57.7,"Courter, James",72403,40.9,"Other/Unknown, ",2498,1.4
NJ,MORRIS,R,"Florio, James",61678,47.1,"Courter, James",67592,51.7,"Other/Unknown, ",1567,1.2
NJ,OCEAN,D,"Florio, James",83587,56.1,"Courter, James",62700,42.1,"Other/Unknown, ",2669,1.8
NJ,PASSAIC,D,"Florio, James",67934,60.5,"Courter, James",42106,37.5,"Other/Unknown, ",2271,2
NJ,SALEM,D,"Florio, James",11644,57.6,"Courter, James",7938,39.3,"Other/Unknown, ",637,3.2
NJ,SOMERSET,D,"Florio, James",37159,50.5,"Courter, James",34815,47.3,"Other/Unknown, ",1679,2.3
NJ,SUSSEX,R,"Florio, James",14901,41.5,"Courter, James",20096,56,"Other/Unknown, ",890,2.5
NJ,UNION,D,"Florio, James",89419,61.2,"Courter, James",53636,36.7,"Other/Unknown, ",3039,2.1
NJ,WARREN,R,"Florio, James",11651,45.8,"Courter, James",13224,52,"Other/Unknown, ",542,2.1
VA,ACCOMACK,R,"Wilder, L.",4767,44.9,"Coleman, J.",5838,55,"Other/Unknown, ",3,0
VA,ALBEMARLE,D,"Wilder, L.",10743,51.7,"Coleman, J.",9998,48.1,"Other/Unknown, ",35,0.2
VA,ALLEGHANY,R,"Wilder, L.",2313,49.7,"Coleman, J.",2342,50.3,"Other/Unknown, ",,
VA,AMELIA,R,"Wilder, L.",1509,43.8,"Coleman, J.",1937,56.2,"Other/Unknown, ",2,0.1
VA,AMHERST,R,"Wilder, L.",4000,44.6,"Coleman, J.",4965,55.4,"Other/Unknown, ",4,0
VA,APPOMATTOX,R,"Wilder, L.",2321,47.9,"Coleman, J.",2528,52.1,"Other/Unknown, ",,
VA,ARLINGTON,D,"Wilder, L.",35716,67.1,"Coleman, J.",17452,32.8,"Other/Unknown, ",44,0.1
VA,AUGUSTA,R,"Wilder, L.",4502,30.7,"Coleman, J.",10146,69.2,"Other/Unknown, ",16,0.1
VA,BATH,R,"Wilder, L.",770,46.1,"Coleman, J.",900,53.8,"Other/Unknown, ",2,0.1
VA,BEDFORD,R,"Wilder, L.",5871,42,"Coleman, J.",8094,57.9,"Other/Unknown, ",7,0.1
VA,BRUNSWICK,D,"Wilder, L.",3181,56.1,"Coleman, J.",2493,43.9,"Other/Unknown, ",,
VA,BUCHANAN,D,"Wilder, L.",5678,59.4,"Coleman, J.",3875,40.6,"Other/Unknown, ",,
VA,BUCKINGHAM,R,"Wilder, L.",2014,44.4,"Coleman, J.",2515,55.5,"Other/Unknown, ",2,0
VA,CAMPBELL,R,"Wilder, L.",6043,38.6,"Coleman, J.",9611,61.4,"Other/Unknown, ",4,0
VA,CAROLINE,D,"Wilder, L.",3232,54.9,"Coleman, J.",2658,45.1,"Other/Unknown, ",1,0
VA,CARROLL,R,"Wilder, L.",2375,32.5,"Coleman, J.",4926,67.5,"Other/Unknown, ",,
VA,"CHARLES CITY",D,"Wilder, L.",2050,78.7,"Coleman, J.",554,21.3,"Other/Unknown, ",1,0
VA,CHARLOTTE,R,"Wilder, L.",2072,44.8,"Coleman, J.",2552,55.2,"Other/Unknown, ",2,0
VA,CHESTERFIELD,R,"Wilder, L.",23799,35.2,"Coleman, J.",43656,64.6,"Other/Unknown, ",151,0.2
VA,CLARKE,R,"Wilder, L.",1394,47.4,"Coleman, J.",1546,52.6,"Other/Unknown, ",,
VA,CRAIG,R,"Wilder, L.",766,45.8,"Coleman, J.",902,53.9,"Other/Unknown, ",6,0.4
VA,CULPEPER,R,"Wilder, L.",2670,38.7,"Coleman, J.",4230,61.3,"Other/Unknown, ",2,0
VA,CUMBERLAND,R,"Wilder, L.",1418,46.7,"Coleman, J.",1617,53.3,"Other/Unknown, ",,
VA,BLAND,R,"Wilder, L.",661,33.9,"Coleman, J.",1287,66.1,"Other/Unknown, ",,
VA,BOTETOURT,R,"Wilder, L.",3998,46.8,"Coleman, J.",4539,53.1,"Other/Unknown, ",5,0.1
VA,DICKENSON,D,"Wilder, L.",3536,62.3,"Coleman, J.",2131,37.6,"Other/Unknown, ",6,0.1
VA,DINWIDDIE,R,"Wilder, L.",3321,47.5,"Coleman, J.",3676,52.5,"Other/Unknown, ",,
VA,ESSEX,R,"Wilder, L.",1373,44.7,"Coleman, J.",1694,55.2,"Other/Unknown, ",2,0.1
VA,FAIRFAX,D,"Wilder, L.",127236,55.9,"Coleman, J.",99957,43.9,"Other/Unknown, ",518,0.2
VA,GILES,D,"Wilder, L.",2568,51,"Coleman, J.",2468,49,"Other/Unknown, ",2,0
VA,GLOUCESTER,R,"Wilder, L.",4258,42.4,"Coleman, J.",5765,57.4,"Other/Unknown, ",13,0.1
VA,GOOCHLAND,R,"Wilder, L.",2473,44.4,"Coleman, J.",3092,55.5,"Other/Unknown, ",2,0
VA,GRAYSON,R,"Wilder, L.",1761,34.5,"Coleman, J.",3337,65.5,"Other/Unknown, ",,
VA,GREENE,R,"Wilder, L.",863,33.3,"Coleman, J.",1726,66.7,"Other/Unknown, ",,
VA,GREENSVILLE,D,"Wilder, L.",1952,57.6,"Coleman, J.",1435,42.4,"Other/Unknown, ",1,0
VA,HALIFAX,R,"Wilder, L.",4562,46.7,"Coleman, J.",5205,53.3,"Other/Unknown, ",2,0
VA,FAUQUIER,R,"Wilder, L.",5545,45.3,"Coleman, J.",6700,54.7,"Other/Unknown, ",4,0
VA,FLOYD,R,"Wilder, L.",1566,39.6,"Coleman, J.",2387,60.4,"Other/Unknown, ",1,0
VA,FLUVANNA,R,"Wilder, L.",1554,42.9,"Coleman, J.",2063,57,"Other/Unknown, ",4,0.1
VA,FRANKLIN,R,"Wilder, L.",5158,46,"Coleman, J.",6037,53.9,"Other/Unknown, ",6,0.1
VA,FREDERICK,R,"Wilder, L.",3746,36.3,"Coleman, J.",6581,63.7,"Other/Unknown, ",3,0
VA,HANOVER,R,"Wilder, L.",7391,30.8,"Coleman, J.",16552,69,"Other/Unknown, ",32,0.1
VA,"ISLE OF WIGHT",R,"Wilder, L.",4353,49.5,"Coleman, J.",4442,50.5,"Other/Unknown, ",4,0
VA,"JAMES CITY",R,"Wilder, L.",5827,49.8,"Coleman, J.",5850,50,"Other/Unknown, ",15,0.1
VA,"KING AND QUEEN",D,"Wilder, L.",1278,53.3,"Coleman, J.",1119,46.6,"Other/Unknown, ",3,0.1
