"Gubernatorial General Election Returns by County, National Summary (2016)"
"Generated from CQ Press U.S. Political Stats Database, October 11, 2017"
,
,
State,County,"Winning Party","Dem. Candidate (2016)","Dem. Votes","Dem. %","Rep. Candidate (2016)","Rep. Votes","Rep. %","Highest Other (2016)","Other Votes","Other %"
DE,KENT,D,"Carney, John",35955,49.7,"Bonini, Colin",34777,48,"Groff, Andrew",835,1.2
DE,"NEW CASTLE",D,"Carney, John",165973,66.2,"Bonini, Colin",77839,31,"Groff, Andrew",3884,1.5
DE,SUSSEX,R,"Carney, John",46476,45.2,"Bonini, Colin",54236,52.8,"Groff, Andrew",1232,1.2
IN,ADAMS,R,"Gregg, John",4272,32.7,"Holcomb, Eric",8408,64.4,"Bell, Rex",371,2.8
IN,ALLEN,R,"Gregg, John",61879,42.1,"Holcomb, Eric",80458,54.8,"Bell, Rex",4478,3.1
IN,BARTHOLOMEW,R,"Gregg, John",11869,37,"Holcomb, Eric",19063,59.5,"Bell, Rex",1122,3.5
IN,BENTON,R,"Gregg, John",1201,32.7,"Holcomb, Eric",2318,63.2,"Bell, Rex",150,4.1
IN,BLACKFORD,R,"Gregg, John",1857,38.8,"Holcomb, Eric",2719,56.8,"Bell, Rex",213,4.4
IN,BOONE,R,"Gregg, John",11868,36.9,"Holcomb, Eric",19269,59.9,"Bell, Rex",1009,3.1
IN,BROWN,R,"Gregg, John",3201,40.2,"Holcomb, Eric",4488,56.4,"Bell, Rex",272,3.4
IN,CARROLL,R,"Gregg, John",2923,33.8,"Holcomb, Eric",5381,62.2,"Bell, Rex",353,4.1
IN,CASS,R,"Gregg, John",5662,39.8,"Holcomb, Eric",8059,56.6,"Bell, Rex",511,3.6
IN,CLARK,R,"Gregg, John",20293,40.3,"Holcomb, Eric",28440,56.5,"Bell, Rex",1597,3.2
IN,CLAY,R,"Gregg, John",4260,38.5,"Holcomb, Eric",6457,58.4,"Bell, Rex",337,3
IN,CLINTON,R,"Gregg, John",4120,35.3,"Holcomb, Eric",7126,61.1,"Bell, Rex",423,3.6
IN,CRAWFORD,R,"Gregg, John",1924,43.1,"Holcomb, Eric",2381,53.4,"Bell, Rex",156,3.5
IN,DAVIESS,R,"Gregg, John",4049,37.7,"Holcomb, Eric",6460,60.2,"Bell, Rex",217,2
IN,DEARBORN,R,"Gregg, John",5936,25.6,"Holcomb, Eric",16606,71.5,"Bell, Rex",669,2.9
IN,DECATUR,R,"Gregg, John",3291,30.4,"Holcomb, Eric",7231,66.8,"Bell, Rex",310,2.9
IN,DEKALB,R,"Gregg, John",5340,32.2,"Holcomb, Eric",10501,63.4,"Bell, Rex",718,4.3
IN,DELAWARE,D,"Gregg, John",22195,49.7,"Holcomb, Eric",20777,46.6,"Bell, Rex",1650,3.7
IN,DUBOIS,R,"Gregg, John",8171,40.9,"Holcomb, Eric",10821,54.2,"Bell, Rex",962,4.8
IN,ELKHART,R,"Gregg, John",23749,36.1,"Holcomb, Eric",40161,61,"Bell, Rex",1931,2.9
IN,FAYETTE,R,"Gregg, John",3369,36.2,"Holcomb, Eric",5485,59,"Bell, Rex",441,4.7
IN,FLOYD,R,"Gregg, John",15176,41,"Holcomb, Eric",20783,56.2,"Bell, Rex",1042,2.8
IN,FOUNTAIN,R,"Gregg, John",2404,32.2,"Holcomb, Eric",4792,64.1,"Bell, Rex",277,3.7
IN,FRANKLIN,R,"Gregg, John",2697,25.1,"Holcomb, Eric",7795,72.5,"Bell, Rex",254,2.4
IN,FULTON,R,"Gregg, John",2977,35.4,"Holcomb, Eric",5142,61.1,"Bell, Rex",291,3.5
IN,GIBSON,R,"Gregg, John",5969,38.5,"Holcomb, Eric",9203,59.3,"Bell, Rex",344,2.2
IN,GRANT,R,"Gregg, John",9257,36.9,"Holcomb, Eric",14928,59.6,"Bell, Rex",876,3.5
IN,GREENE,R,"Gregg, John",6610,48.1,"Holcomb, Eric",6834,49.7,"Bell, Rex",310,2.3
IN,HAMILTON,R,"Gregg, John",60176,38.9,"Holcomb, Eric",90381,58.4,"Bell, Rex",4148,2.7
IN,HANCOCK,R,"Gregg, John",12350,34,"Holcomb, Eric",22681,62.5,"Bell, Rex",1271,3.5
IN,HARRISON,R,"Gregg, John",6303,34.2,"Holcomb, Eric",11690,63.5,"Bell, Rex",417,2.3
IN,HENDRICKS,R,"Gregg, John",27180,36.4,"Holcomb, Eric",45207,60.6,"Bell, Rex",2227,3
IN,HENRY,R,"Gregg, John",7551,37.6,"Holcomb, Eric",10769,53.6,"Bell, Rex",1786,8.9
IN,HOWARD,R,"Gregg, John",15812,42.7,"Holcomb, Eric",19903,53.8,"Bell, Rex",1290,3.5
IN,HUNTINGTON,R,"Gregg, John",4941,31.4,"Holcomb, Eric",10092,64.2,"Bell, Rex",679,4.3
