"Gubernatorial General Election Returns by County, National Summary (1992)"
"Generated from CQ Press U.S. Political Stats Database, October 20, 2017"
,
,
State,County,"Winning Party","Dem. Candidate (1992)","Dem. Votes","Dem. %","Rep. Candidate (1992)","Rep. Votes","Rep. %","Highest Other (1992)","Other Votes","Other %"
DE,KENT,D,"Carper, Thomas",24734,63.2,"Scott, B.",13406,34.2,"Other/Unknown, ",1018,2.6
DE,"NEW CASTLE",D,"Carper, Thomas",124601,66.2,"Scott, B.",58609,31.1,"Other/Unknown, ",5047,2.7
DE,SUSSEX,D,"Carper, Thomas",30030,60.5,"Scott, B.",18710,37.7,"Other/Unknown, ",903,1.8
IN,ADAMS,D,"Bayh, Evan",7906,62.7,"Pearson, Linley",4533,36,"Other/Unknown, ",163,1.3
IN,ALLEN,D,"Bayh, Evan",71007,59.9,"Pearson, Linley",46056,38.9,"Other/Unknown, ",1443,1.2
IN,BARTHOLOMEW,D,"Bayh, Evan",16355,61,"Pearson, Linley",10183,38,"Other/Unknown, ",294,1.1
IN,BENTON,D,"Bayh, Evan",2457,57.4,"Pearson, Linley",1743,40.7,"Other/Unknown, ",81,1.9
IN,BLACKFORD,D,"Bayh, Evan",3770,66.7,"Pearson, Linley",1807,32,"Other/Unknown, ",74,1.3
IN,BOONE,D,"Bayh, Evan",8568,50.4,"Pearson, Linley",8365,49.2,"Other/Unknown, ",58,0.3
IN,BROWN,D,"Bayh, Evan",3941,64.6,"Pearson, Linley",2094,34.3,"Other/Unknown, ",62,1
IN,CARROLL,D,"Bayh, Evan",4919,58.3,"Pearson, Linley",3474,41.2,"Other/Unknown, ",42,0.5
IN,CASS,D,"Bayh, Evan",8932,56.9,"Pearson, Linley",6720,42.8,"Other/Unknown, ",50,0.3
IN,CLARK,D,"Bayh, Evan",23825,71.5,"Pearson, Linley",9384,28.2,"Other/Unknown, ",121,0.4
IN,CLAY,D,"Bayh, Evan",6744,66.9,"Pearson, Linley",3230,32,"Other/Unknown, ",106,1.1
IN,CLINTON,R,"Bayh, Evan",5309,44.1,"Pearson, Linley",6640,55.2,"Other/Unknown, ",80,0.7
IN,CRAWFORD,D,"Bayh, Evan",3005,62.8,"Pearson, Linley",1765,36.9,"Other/Unknown, ",12,0.3
IN,DAVIESS,D,"Bayh, Evan",5755,56.1,"Pearson, Linley",4439,43.3,"Other/Unknown, ",66,0.6
IN,DEARBORN,D,"Bayh, Evan",7699,54.7,"Pearson, Linley",6265,44.5,"Other/Unknown, ",105,0.7
IN,DECATUR,D,"Bayh, Evan",6328,62,"Pearson, Linley",3713,36.4,"Other/Unknown, ",159,1.6
IN,DEKALB,D,"Bayh, Evan",7565,54.1,"Pearson, Linley",6357,45.5,"Other/Unknown, ",59,0.4
IN,DELAWARE,D,"Bayh, Evan",32802,66.1,"Pearson, Linley",15932,32.1,"Other/Unknown, ",922,1.9
IN,DUBOIS,D,"Bayh, Evan",9884,65.6,"Pearson, Linley",5151,34.2,"Other/Unknown, ",35,0.2
IN,ELKHART,D,"Bayh, Evan",28271,54.8,"Pearson, Linley",22616,43.9,"Other/Unknown, ",682,1.3
IN,FAYETTE,D,"Bayh, Evan",6257,62.1,"Pearson, Linley",3778,37.5,"Other/Unknown, ",45,0.4
IN,FLOYD,D,"Bayh, Evan",18956,68,"Pearson, Linley",8875,31.8,"Other/Unknown, ",61,0.2
IN,FOUNTAIN,D,"Bayh, Evan",4989,59.8,"Pearson, Linley",3215,38.5,"Other/Unknown, ",143,1.7
IN,FRANKLIN,D,"Bayh, Evan",4564,59.3,"Pearson, Linley",2974,38.7,"Other/Unknown, ",155,2
IN,FULTON,D,"Bayh, Evan",4877,57.8,"Pearson, Linley",3428,40.6,"Other/Unknown, ",129,1.5
IN,GIBSON,D,"Bayh, Evan",9832,69.5,"Pearson, Linley",4153,29.4,"Other/Unknown, ",162,1.1
IN,GRANT,D,"Bayh, Evan",16566,59.4,"Pearson, Linley",11043,39.6,"Other/Unknown, ",293,1.1
IN,GREENE,D,"Bayh, Evan",8594,65.7,"Pearson, Linley",4440,33.9,"Other/Unknown, ",47,0.4
IN,HAMILTON,D,"Bayh, Evan",27499,50.8,"Pearson, Linley",26040,48.1,"Other/Unknown, ",586,1.1
IN,HANCOCK,D,"Bayh, Evan",11434,56.1,"Pearson, Linley",8604,42.2,"Other/Unknown, ",348,1.7
IN,HARRISON,D,"Bayh, Evan",9581,70.8,"Pearson, Linley",3726,27.6,"Other/Unknown, ",217,1.6
IN,HENDRICKS,D,"Bayh, Evan",16453,50.9,"Pearson, Linley",15412,47.7,"Other/Unknown, ",436,1.3
